trade_time,order_fill_time,btype,symbol,order_price,order_volume,side,volume,vwap,amount,fee,net_amount,cash_balance,posi_balance,posi_vwap,multiplier,margin_ratio,margin_change_amount
2026-04-26 20:51:04,,银证转入,,0.0,0,-,0,0.0,150000.0,0.0,150000.0,150000.0,0,0.0,1.0,1.0,0
2026-04-27 09:31:00,2026-04-27 09:31:00,买入开仓,SHSE.600176,34.35116195678711,300,多,300,34.354597072982784,-10306.379121894835,1.545956868284225,-10307.925078763119,139692.07492123687,300,34.35975026254373,1.0,1.0,0
2026-04-27 09:31:00,2026-04-27 09:31:00,买入开仓,SHSE.600481,6.320000171661377,1400,多,1400,6.320632171678543,-8848.88504034996,1.327332756052494,-8850.212373106013,130841.86254813086,1400,6.321580266504295,1.0,1.0,0
2026-04-27 09:31:00,2026-04-27 09:31:00,买入开仓,SHSE.603667,65.878173828125,500,多,500,65.88476164550781,-32942.380822753905,4.941357123413085,-32947.322179877316,97894.54036825354,500,65.89464435975464,1.0,1.0,0
2026-04-27 09:31:00,2026-04-27 09:31:00,买入开仓,SZSE.000988,117.30481719970703,300,多,300,117.316547681427,-35194.9643044281,5.279244645664214,-35200.24354907376,62694.29681917978,300,117.33414516357921,1.0,1.0,0
2026-04-28 09:31:00,2026-04-28 09:31:00,卖出平仓,SHSE.600481,6.260000228881836,200,多,-200,6.259374228858948,1251.8748457717895,0.18778122686576842,1251.6870645449237,63945.9838837247,1200,6.321580266504295,1.0,1.0,0
2026-04-28 09:31:00,2026-04-28 09:31:00,卖出平仓,SHSE.603667,65.8881607055664,100,多,-100,65.88157188949585,6588.157188949584,0.9882235783424376,6587.168965371242,70533.15284909595,400,65.89464435975464,1.0,1.0,0
2026-04-28 10:01:00,2026-04-28 10:01:00,卖出平仓,SHSE.600481,6.090000152587891,100,多,-100,6.089391152572632,608.9391152572632,0.09134086728858948,608.8477743899746,71142.00062348592,1100,6.321580266504295,1.0,1.0,0
2026-04-28 10:01:00,2026-04-28 10:01:00,卖出平仓,SHSE.603667,63.911808013916016,100,多,-100,63.90541683311462,6390.541683311462,0.9585812524967192,6389.583102058966,77531.58372554489,300,65.89464435975464,1.0,1.0,0
2026-04-28 10:31:00,2026-04-28 10:31:00,卖出平仓,SHSE.600481,6.090000152587891,100,多,-100,6.089391152572632,608.9391152572632,0.09134086728858948,608.8477743899746,78140.43149993486,1000,6.321580266504295,1.0,1.0,0
