trade_time,order_fill_time,btype,symbol,order_price,order_volume,side,volume,vwap,amount,fee,net_amount,cash_balance,posi_balance,posi_vwap,multiplier,margin_ratio,margin_change_amount
2026-04-26 09:30:00,,银证转入,,0.0,0,-,0,0.0,200000.0,0.0,200000.0,200000.0,0,0.0,1.0,1.0,0
2026-04-27 09:31:00,2026-04-27 09:31:00,买入开仓,SZSE.000988,117.5,800,多,800,117.5,-94000.0,0.0,-94000.0,106000.0,800,117.5,1.0,1.0,0
2026-04-29 10:06:00,2026-04-29 10:06:00,买入开仓,SZSE.000988,115.8499984741211,300,多,300,115.8499984741211,-34754.99954223633,0.0,-34754.99954223633,71245.00045776367,1100,117.0499995838512,1.0,1.0,0
2026-04-29 10:36:00,2026-04-29 10:36:00,买入开仓,SZSE.000988,118.31999969482422,300,多,300,118.31999969482422,-35495.999908447266,0.0,-35495.999908447266,35749.000549316406,1400,117.32214246477399,1.0,1.0,0
2026-04-30 09:49:00,2026-04-30 09:49:00,买入开仓,SZSE.000988,116.16000366210938,300,多,300,116.16000366210938,-34848.00109863281,0.0,-34848.00109863281,900.9994506835938,1700,117.11705914665671,1.0,1.0,0
2026-05-08 13:21:00,2026-05-08 13:21:00,卖出平仓,SZSE.000988,132.52999877929688,400,多,-400,132.52999877929688,53011.99951171875,0.0,53011.99951171875,53912.998962402344,1300,117.11705914665671,1.0,1.0,0
2026-05-11 14:52:00,2026-05-11 14:52:00,卖出平仓,SZSE.000988,147.72999572753906,200,多,-200,147.72999572753906,29545.999145507812,0.0,29545.999145507812,83458.99810791016,1100,117.11705914665671,1.0,1.0,0
2026-05-13 14:38:00,2026-05-13 14:38:00,卖出平仓,SZSE.000988,142.67999267578125,200,多,-200,142.67999267578125,28535.99853515625,0.0,28535.99853515625,111994.9966430664,900,117.11705914665671,1.0,1.0,0
2026-05-18 09:36:00,2026-05-18 09:36:00,买入开仓,SZSE.000988,141.97999572753906,300,多,300,141.97999572753906,-42593.99871826172,0.0,-42593.99871826172,69400.99792480469,1200,123.33279329187731,1.0,1.0,0
2026-05-18 09:39:00,2026-05-18 09:39:00,卖出平仓,SZSE.000988,144.88999938964844,300,多,-300,144.88999938964844,43466.99981689453,0.0,43466.99981689453,112867.99774169922,900,123.33279329187731,1.0,1.0,0
2026-06-01 09:54:00,2026-06-01 09:54:00,买入开仓,SZSE.000988,152.0,300,多,300,152.0,-45600.0,0.0,-45600.0,67267.99774169922,1200,130.49959496890799,1.0,1.0,0
2026-06-01 10:46:00,2026-06-01 10:46:00,买入开仓,SZSE.000988,147.92999267578125,300,多,300,147.92999267578125,-44378.997802734375,0.0,-44378.997802734375,22888.999938964844,1500,133.98567451028265,1.0,1.0,0
2026-06-03 09:39:00,2026-06-03 09:39:00,卖出平仓,SZSE.000988,158.2899932861328,400,多,-400,158.2899932861328,63315.997314453125,0.0,63315.997314453125,86204.99725341797,1100,133.98567451028265,1.0,1.0,0
2026-06-03 14:35:00,2026-06-03 14:35:00,买入开仓,SZSE.000988,150.88999938964844,300,多,300,150.88999938964844,-45266.99981689453,0.0,-45266.99981689453,40937.99743652344,1400,137.6080298415753,1.0,1.0,0
2026-06-04 14:08:00,2026-06-04 14:08:00,卖出平仓,SZSE.000988,160.1199951171875,200,多,-200,160.1199951171875,32023.9990234375,0.0,32023.9990234375,72961.99645996094,1200,137.6080298415753,1.0,1.0,0
2026-06-08 10:37:00,2026-06-08 10:37:00,卖出平仓,SZSE.000988,154.27999877929688,200,多,-200,154.27999877929688,30855.999755859375,0.0,30855.999755859375,103817.99621582031,1000,137.6080298415753,1.0,1.0,0
2026-06-09 09:38:00,2026-06-09 09:38:00,卖出平仓,SZSE.000988,154.17999267578125,200,多,-200,154.17999267578125,30835.99853515625,0.0,30835.99853515625,134653.99475097656,800,137.6080298415753,1.0,1.0,0
2026-06-10 09:36:00,2026-06-10 09:36:00,买入开仓,SZSE.000988,151.4499969482422,300,多,300,151.4499969482422,-45434.999084472656,0.0,-45434.999084472656,89218.9956665039,1100,141.38311177975717,1.0,1.0,0
2026-06-10 13:40:00,2026-06-10 13:40:00,买入开仓,SZSE.000988,148.0800018310547,300,多,300,148.0800018310547,-44424.000549316406,0.0,-44424.000549316406,44794.9951171875,1400,142.81815964789237,1.0,1.0,0
2026-06-11 09:33:00,2026-06-11 09:33:00,卖出平仓,SZSE.000988,151.49000549316406,200,多,-200,151.49000549316406,30298.001098632812,0.0,30298.001098632812,75092.99621582031,1200,142.81815964789237,1.0,1.0,0
2026-06-12 00:00:00,,分红派息,SZSE.000988,0.0,0,多,0,0.0,300.0,0.0,300.0,75392.99621582031,1200,142.56815964789237,1.0,1.0,0
2026-06-15 09:51:00,2026-06-15 09:51:00,卖出平仓,SZSE.000988,153.1699981689453,200,多,-200,153.1699981689453,30633.999633789062,0.0,30633.999633789062,106026.99584960938,1000,142.56815964789237,1.0,1.0,0
2026-06-16 13:08:00,2026-06-16 13:08:00,卖出平仓,SZSE.000988,162.2100067138672,200,多,-200,162.2100067138672,32442.001342773438,0.0,32442.001342773438,138468.9971923828,800,142.56815964789237,1.0,1.0,0
2026-06-16 13:09:00,2026-06-16 13:09:00,买入开仓,SZSE.000988,162.17999267578125,300,多,300,162.17999267578125,-48653.997802734375,0.0,-48653.997802734375,89814.99938964844,1100,147.91684138277117,1.0,1.0,0
2026-06-17 09:48:00,2026-06-17 09:48:00,卖出平仓,SZSE.000988,170.0,200,多,-200,170.0,34000.0,0.0,34000.0,123814.99938964844,900,147.91684138277117,1.0,1.0,0
2026-06-17 11:22:00,2026-06-17 11:22:00,买入开仓,SZSE.000988,166.07000732421875,300,多,300,166.07000732421875,-49821.002197265625,0.0,-49821.002197265625,73993.99719238281,1200,152.45513286813306,1.0,1.0,0
2026-06-18 13:30:00,2026-06-18 13:30:00,卖出平仓,SZSE.000988,179.92999267578125,200,多,-200,179.92999267578125,35985.99853515625,0.0,35985.99853515625,109979.99572753906,1000,152.45513286813306,1.0,1.0,0
2026-06-23 10:33:00,2026-06-23 10:33:00,卖出平仓,SZSE.000988,169.27999877929688,300,多,-300,169.27999877929688,50783.99963378906,0.0,50783.99963378906,160763.99536132812,700,152.45513286813306,1.0,1.0,0
2026-06-24 09:49:00,2026-06-24 09:49:00,买入开仓,SZSE.000988,164.1300048828125,300,多,300,164.1300048828125,-49239.00146484375,0.0,-49239.00146484375,111524.99389648438,1000,155.95759447253687,1.0,1.0,0
2026-06-24 09:58:00,2026-06-24 09:58:00,卖出平仓,SZSE.000988,166.0,200,多,-200,166.0,33200.0,0.0,33200.0,144724.99389648438,800,155.95759447253687,1.0,1.0,0
2026-06-24 10:15:00,2026-06-24 10:15:00,买入开仓,SZSE.000988,166.00999450683594,300,多,300,166.00999450683594,-49802.99835205078,0.0,-49802.99835205078,94921.9955444336,1100,158.69915811825481,1.0,1.0,0
2026-06-25 09:48:00,2026-06-25 09:48:00,卖出平仓,SZSE.000988,170.97999572753906,300,多,-300,170.97999572753906,51293.99871826172,0.0,51293.99871826172,146215.9942626953,800,158.69915811825481,1.0,1.0,0
2026-06-25 09:52:00,2026-06-25 09:52:00,买入开仓,SZSE.000988,171.3300018310547,300,多,300,171.3300018310547,-51399.000549316406,0.0,-51399.000549316406,94816.9937133789,1100,162.14393367629114,1.0,1.0,0
2026-06-30 10:27:00,2026-06-30 10:27:00,卖出平仓,SZSE.000988,184.05999755859375,300,多,-300,184.05999755859375,55217.999267578125,0.0,55217.999267578125,150034.99298095703,800,162.14393367629114,1.0,1.0,0
