================================================================================
[V1.18 0707 回测报告 - 仅触发信号]
================================================================================

改进说明:
1. 弱势震荡检测: 平开/低开后全天均线下 -> 禁止买入, 鼓励卖出
2. 45度斜率+均线穿越: 均线上下窜可低吸, 全天均线下不可低吸
3. 卖出幅度过滤: 幅度<0.3%不触发高抛

================================================================================
  002261 拓维信息
================================================================================
  全天最高分: 买0 (at ) / 卖0 (at )
  全天无触发信号

================================================================================
  588170 科创半导体ETF
================================================================================
  全天最高分: 买36 (at 10:13) / 卖134 (at 10:09)
  触发信号数: 141

  [13:32] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分80
  [13:33] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分90
  [13:35] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分60
  [13:37] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分70
  [13:39] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分48
  [13:41] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分70
  [13:42] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分48
  [13:43] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分70
  [13:44] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分58
  [13:45] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分68
  [13:46] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分83
  [13:47] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分83
  [13:48] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分93
  [13:49] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分81
  [13:50] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分73
  [13:51] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分63
  [13:52] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分63
  [13:53] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分63
  [13:54] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分48
  [13:55] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分48
  [13:56] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分63
  [13:57] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分79
  [13:58] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分87
  [13:59] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分77
  [14:00] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分78
  [14:01] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分78
  [14:02] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分82
  [14:03] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分94
  [14:04] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分94
  [14:05] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分94
  [14:06] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分94
  [14:07] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分79
  [14:14] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分80
  [14:19] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分80
  [14:20] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分80
  [14:21] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分80
  [14:22] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分80
  [14:23] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分120
  [14:33] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分75
  [14:34] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分83
  [14:35] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分90
  [14:36] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分104
  [14:37] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分85
  [14:38] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分90
  [14:39] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分98
  [14:40] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分110
  [14:41] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分120
  [14:42] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分107
  [14:43] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分92
  [14:44] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分85
  [14:45] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分89
  [14:46] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分62
  [14:47] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分89
  [14:48] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分67
  [14:49] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分52
  [14:50] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分60
  [14:51] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分84
  [14:52] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分84
  [14:53] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分99
  [14:54] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分93
  [14:55] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分99
  [14:56] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分99
  [14:57] SELL_HIGH 588170 科创半导体ETF 价格1.23 评分76

================================================================================
  600089 特变电工
================================================================================
  全天最高分: 买0 (at ) / 卖0 (at )
  全天无触发信号

================================================================================
  000988 华工科技
================================================================================
  全天最高分: 买36 (at 14:07) / 卖121 (at 13:42)
  触发信号数: 108

  [10:35] SELL_HIGH 000988 华工科技 价格150.76 评分57
  [10:36] SELL_HIGH 000988 华工科技 价格151.23 评分72
  [10:37] SELL_HIGH 000988 华工科技 价格150.96 评分57
  [10:38] SELL_HIGH 000988 华工科技 价格150.93 评分67
  [10:39] SELL_HIGH 000988 华工科技 价格150.99 评分85
  [10:40] SELL_HIGH 000988 华工科技 价格151.25 评分72
  [10:41] SELL_HIGH 000988 华工科技 价格151.16 评分55
  [10:42] SELL_HIGH 000988 华工科技 价格151.09 评分70
  [10:43] SELL_HIGH 000988 华工科技 价格151.12 评分55
  [10:44] SELL_HIGH 000988 华工科技 价格151.70 评分84
  [10:45] SELL_HIGH 000988 华工科技 价格151.87 评分84
  [10:46] SELL_HIGH 000988 华工科技 价格151.37 评分55
  [10:48] SELL_HIGH 000988 华工科技 价格151.60 评分59
  [10:49] SELL_HIGH 000988 华工科技 价格151.25 评分55
  [10:51] SELL_HIGH 000988 华工科技 价格151.37 评分55
  [10:52] SELL_HIGH 000988 华工科技 价格151.20 评分49
  [10:54] SELL_HIGH 000988 华工科技 价格151.85 评分46
  [10:56] SELL_HIGH 000988 华工科技 价格151.20 评分49
  [10:57] SELL_HIGH 000988 华工科技 价格151.26 评分49
  [10:58] SELL_HIGH 000988 华工科技 价格151.32 评分49
  [10:59] SELL_HIGH 000988 华工科技 价格151.21 评分49
  [13:32] SELL_HIGH 000988 华工科技 价格150.98 评分57
  [13:33] SELL_HIGH 000988 华工科技 价格151.30 评分57
  [13:34] SELL_HIGH 000988 华工科技 价格151.30 评分75
  [13:35] SELL_HIGH 000988 华工科技 价格151.80 评分69
  [13:36] SELL_HIGH 000988 华工科技 价格151.55 评分71
  [13:37] SELL_HIGH 000988 华工科技 价格153.30 评分80
  [13:38] SELL_HIGH 000988 华工科技 价格153.30 评分80
  [13:39] SELL_HIGH 000988 华工科技 价格154.13 评分80
  [13:40] SELL_HIGH 000988 华工科技 价格153.68 评分117
  [13:41] SELL_HIGH 000988 华工科技 价格153.72 评分109
  [13:42] SELL_HIGH 000988 华工科技 价格153.85 评分121
  [13:43] SELL_HIGH 000988 华工科技 价格152.88 评分70
  [13:44] SELL_HIGH 000988 华工科技 价格153.30 评分74
  [13:45] SELL_HIGH 000988 华工科技 价格153.86 评分79
  [13:46] SELL_HIGH 000988 华工科技 价格154.14 评分79
  [13:47] SELL_HIGH 000988 华工科技 价格153.99 评分79
  [13:48] SELL_HIGH 000988 华工科技 价格154.60 评分53
  [13:49] SELL_HIGH 000988 华工科技 价格154.90 评分80
  [13:50] SELL_HIGH 000988 华工科技 价格154.79 评分94
  [13:51] SELL_HIGH 000988 华工科技 价格155.21 评分84
  [13:52] SELL_HIGH 000988 华工科技 价格154.78 评分101
  [13:53] SELL_HIGH 000988 华工科技 价格154.60 评分76
  [13:54] SELL_HIGH 000988 华工科技 价格155.06 评分84
  [13:55] SELL_HIGH 000988 华工科技 价格155.28 评分69
  [13:56] SELL_HIGH 000988 华工科技 价格155.52 评分81
  [13:57] SELL_HIGH 000988 华工科技 价格155.50 评分81
  [13:58] SELL_HIGH 000988 华工科技 价格155.40 评分72
  [13:59] SELL_HIGH 000988 华工科技 价格154.80 评分76
  [14:00] SELL_HIGH 000988 华工科技 价格154.43 评分79
  [14:01] SELL_HIGH 000988 华工科技 价格154.18 评分75
  [14:02] SELL_HIGH 000988 华工科技 价格154.44 评分79
  [14:03] SELL_HIGH 000988 华工科技 价格153.96 评分79
  [14:04] SELL_HIGH 000988 华工科技 价格153.52 评分79
  [14:05] SELL_HIGH 000988 华工科技 价格153.79 评分79
  [14:06] SELL_HIGH 000988 华工科技 价格153.58 评分79
  [14:07] SELL_HIGH 000988 华工科技 价格153.51 评分79
  [14:08] SELL_HIGH 000988 华工科技 价格153.27 评分79
  [14:09] SELL_HIGH 000988 华工科技 价格152.91 评分79
  [14:10] SELL_HIGH 000988 华工科技 价格152.83 评分89
