time,open,close,high,low,volume,amount
2026-07-20 09:30:00,45.5,45.5,45.5,45.5,10851.0,49372050.5
2026-07-20 09:31:00,45.33,45.33,45.33,45.33,73032.0,332285567.44
2026-07-20 09:32:00,44.96,44.96,44.96,44.96,117180.0,531266690.1
2026-07-20 09:33:00,44.54,44.54,44.54,44.54,149813.0,677341035.1
2026-07-20 09:34:00,44.5,44.5,44.5,44.5,177609.0,801268214.74
2026-07-20 09:35:00,44.94,44.94,44.94,44.94,199274.0,898169125.26
2026-07-20 09:36:00,45.0,45.0,45.0,45.0,218310.0,983874805.51
2026-07-20 09:37:00,45.0,45.0,45.0,45.0,237434.0,1070013365.5
2026-07-20 09:38:00,44.67,44.67,44.67,44.67,264795.0,1192948878.14
2026-07-20 09:39:00,44.79,44.79,44.79,44.79,278139.0,1252733941.2
2026-07-20 09:40:00,44.5,44.5,44.5,44.5,290157.0,1306346988.56
2026-07-20 09:41:00,44.29,44.29,44.29,44.29,309192.0,1390921186.29
2026-07-20 09:42:00,43.94,43.94,43.94,43.94,323149.0,1452516162.02
2026-07-20 09:43:00,43.75,43.75,43.75,43.75,341472.0,1532882228.19
2026-07-20 09:44:00,43.65,43.65,43.65,43.65,358958.0,1609178295.42
2026-07-20 09:45:00,43.93,43.93,43.93,43.93,372937.0,1670632247.07
2026-07-20 09:46:00,43.62,43.62,43.62,43.62,390079.0,1745301924.15
2026-07-20 09:47:00,43.28,43.28,43.28,43.28,403626.0,1804222377.91
2026-07-20 09:48:00,43.31,43.31,43.31,43.31,423352.0,1889517510.4
2026-07-20 09:49:00,42.91,42.91,42.91,42.91,443918.0,1978247367.84
2026-07-20 09:50:00,42.95,42.95,42.95,42.95,463170.0,2060908550.89
2026-07-20 09:51:00,42.76,42.76,42.76,42.76,483340.0,2147489749.19
2026-07-20 09:52:00,42.46,42.46,42.46,42.46,504391.0,2237135994.18
2026-07-20 09:53:00,42.22,42.22,42.22,42.22,544571.0,2406990814.19
2026-07-20 09:54:00,42.06,42.06,42.06,42.06,564075.0,2489304577.4
2026-07-20 09:55:00,41.95,41.95,41.95,41.95,587843.0,2589252121.71
2026-07-20 09:56:00,42.28,42.28,42.28,42.28,604568.0,2659783931.81
2026-07-20 09:57:00,42.39,42.39,42.39,42.39,619862.0,2724516832.33
2026-07-20 09:58:00,42.58,42.58,42.58,42.58,631699.0,2774766375.32
2026-07-20 09:59:00,42.52,42.52,42.52,42.52,639824.0,2809313345.67
2026-07-20 10:00:00,42.73,42.73,42.73,42.73,649333.0,2849957125.06
2026-07-20 10:01:00,42.31,42.31,42.31,42.31,656578.0,2880759193.51
2026-07-20 10:02:00,42.73,42.73,42.73,42.73,666377.0,2922317701.74
2026-07-20 10:03:00,42.94,42.94,42.94,42.94,676834.0,2967130391.18
2026-07-20 10:04:00,42.92,42.92,42.92,42.92,686816.0,3010014814.72
2026-07-20 10:05:00,42.95,42.95,42.95,42.95,694248.0,3041977128.41
2026-07-20 10:06:00,42.82,42.82,42.82,42.82,704601.0,3086339066.9
2026-07-20 10:07:00,42.58,42.58,42.58,42.58,715919.0,3134746881.31
2026-07-20 10:08:00,42.4,42.4,42.4,42.4,726469.0,3179575242.63
2026-07-20 10:09:00,42.22,42.22,42.22,42.22,734877.0,3215183456.05
2026-07-20 10:10:00,42.01,42.01,42.01,42.01,745520.0,3259964188.19
2026-07-20 10:11:00,41.87,41.87,41.87,41.87,759091.0,3316856238.02
2026-07-20 10:12:00,41.87,41.87,41.87,41.87,769793.0,3361683756.12
2026-07-20 10:13:00,41.64,41.64,41.64,41.64,786364.0,3430710642.59
2026-07-20 10:14:00,41.61,41.61,41.61,41.61,804950.0,3508066031.07
2026-07-20 10:15:00,41.45,41.45,41.45,41.45,818758.0,3565498407.83
2026-07-20 10:16:00,41.13,41.13,41.13,41.13,838995.0,3648972559.94
2026-07-20 10:17:00,41.14,41.14,41.14,41.14,858337.0,3728574850.37
2026-07-20 10:18:00,41.05,41.05,41.05,41.05,873822.0,3792204327.03
2026-07-20 10:19:00,40.95,40.95,40.95,40.95,889517.0,3856544140.67
2026-07-20 10:20:00,40.96,40.96,40.96,40.96,907844.0,3931629132.69
2026-07-20 10:21:00,40.83,40.83,40.83,40.83,922948.0,3993488726.73
2026-07-20 10:22:00,40.68,40.68,40.68,40.68,941562.0,4069272359.6
2026-07-20 10:23:00,40.83,40.83,40.83,40.83,964644.0,4163360081.24
2026-07-20 10:24:00,40.56,40.56,40.56,40.56,974940.0,4205186770.49
2026-07-20 10:25:00,40.57,40.57,40.57,40.57,987886.0,4257724102.37
2026-07-20 10:26:00,40.58,40.58,40.58,40.58,1003186.0,4319958752.68
2026-07-20 10:27:00,40.73,40.73,40.73,40.73,1017140.0,4376601754.25
2026-07-20 10:28:00,40.61,40.61,40.61,40.61,1027709.0,4419539092.1
2026-07-20 10:29:00,40.49,40.49,40.49,40.49,1040416.0,4471022746.33
2026-07-20 10:30:00,40.56,40.56,40.56,40.56,1053645.0,4524607791.18
2026-07-20 10:31:00,40.38,40.38,40.38,40.38,1063157.0,4563125624.11
2026-07-20 10:32:00,40.25,40.25,40.25,40.25,1078850.0,4626372546.24
2026-07-20 10:33:00,40.76,40.76,40.76,40.76,1100394.0,4713465008.2
2026-07-20 10:34:00,40.46,40.46,40.46,40.46,1115203.0,4773534049.48
2026-07-20 10:35:00,40.29,40.29,40.29,40.29,1122347.0,4802356846.48
2026-07-20 10:36:00,40.15,40.15,40.15,40.15,1133426.0,4846930971.62
2026-07-20 10:37:00,40.15,40.15,40.15,40.15,1147073.0,4901851104.12
2026-07-20 10:38:00,40.24,40.24,40.24,40.24,1159593.0,4952156525.17
2026-07-20 10:39:00,40.49,40.49,40.49,40.49,1169136.0,4990673847.9
2026-07-20 10:40:00,40.49,40.49,40.49,40.49,1179142.0,5031265847.58
2026-07-20 10:41:00,40.65,40.65,40.65,40.65,1188290.0,5068331038.21
2026-07-20 10:42:00,41.05,41.05,41.05,41.05,1203844.0,5131761394.93
2026-07-20 10:43:00,41.09,41.09,41.09,41.09,1224030.0,5214610106.44
2026-07-20 10:44:00,41.06,41.06,41.06,41.06,1231832.0,5246608238.25
2026-07-20 10:45:00,41.17,41.17,41.17,41.17,1240929.0,5284001043.04
2026-07-20 10:46:00,41.5,41.5,41.5,41.5,1251632.0,5328248044.84
2026-07-20 10:47:00,41.73,41.73,41.73,41.73,1266816.0,5391301750.6
2026-07-20 10:48:00,41.68,41.68,41.68,41.68,1279349.0,5443623989.45
2026-07-20 10:49:00,41.38,41.38,41.38,41.38,1286735.0,5474287346.34
2026-07-20 10:50:00,41.6,41.6,41.6,41.6,1293569.0,5502612187.39
2026-07-20 10:51:00,41.56,41.56,41.56,41.56,1304596.0,5548555736.61
2026-07-20 10:52:00,41.73,41.73,41.73,41.73,1312038.0,5579549831.75
2026-07-20 10:53:00,41.8,41.8,41.8,41.8,1318085.0,5604768239.86
2026-07-20 10:54:00,41.88,41.88,41.88,41.88,1324975.0,5633668211.95
2026-07-20 10:55:00,41.52,41.52,41.52,41.52,1328108.0,5646731348.0
2026-07-20 10:56:00,41.56,41.56,41.56,41.56,1333001.0,5667061219.38
2026-07-20 10:57:00,41.62,41.62,41.62,41.62,1336131.0,5680079665.17
2026-07-20 10:58:00,41.81,41.81,41.81,41.81,1339319.0,5693376068.22
2026-07-20 10:59:00,42.12,42.12,42.12,42.12,1342775.0,5707865583.27
2026-07-20 11:00:00,42.15,42.15,42.15,42.15,1351217.0,5743395588.34
2026-07-20 11:01:00,42.16,42.16,42.16,42.16,1355994.0,5763534383.38
2026-07-20 11:02:00,42.19,42.19,42.19,42.19,1359483.0,5778262489.95
2026-07-20 11:03:00,42.14,42.14,42.14,42.14,1363338.0,5794513684.96
2026-07-20 11:04:00,42.27,42.27,42.27,42.27,1369701.0,5821343189.99
2026-07-20 11:05:00,42.24,42.24,42.24,42.24,1376657.0,5850757645.0
2026-07-20 11:06:00,41.99,41.99,41.99,41.99,1381939.0,5873009123.03
2026-07-20 11:07:00,41.88,41.88,41.88,41.88,1387118.0,5894710063.06
2026-07-20 11:08:00,41.81,41.81,41.81,41.81,1390437.0,5908616442.09
2026-07-20 11:09:00,41.78,41.78,41.78,41.78,1394053.0,5923740187.11
2026-07-20 11:10:00,41.9,41.9,41.9,41.9,1397785.0,5939370544.14
2026-07-20 11:11:00,41.85,41.85,41.85,41.85,1400851.0,5952203824.16
2026-07-20 11:12:00,41.99,41.99,41.99,41.99,1403809.0,5964604382.18
2026-07-20 11:13:00,41.76,41.76,41.76,41.76,1408332.0,5983485556.22
2026-07-20 11:14:00,41.56,41.56,41.56,41.56,1411965.0,5998610916.25
2026-07-20 11:15:00,41.54,41.54,41.54,41.54,1419760.0,6031005521.04
2026-07-20 11:16:00,41.4,41.4,41.4,41.4,1424024.0,6048713965.91
2026-07-20 11:17:00,41.54,41.54,41.54,41.54,1430615.0,6076045169.69
2026-07-20 11:18:00,41.44,41.44,41.44,41.44,1434106.0,6090514312.58
2026-07-20 11:19:00,41.22,41.22,41.22,41.22,1437870.0,6106050992.43
2026-07-20 11:20:00,41.13,41.13,41.13,41.13,1442813.0,6126399531.23
