time,open,close,high,low,volume,amount
2026-07-20 09:30:00,118.0,118.0,118.0,118.0,5125.0,60475000.0
2026-07-20 09:31:00,117.22,117.22,117.22,117.22,35827.0,423168445.58
2026-07-20 09:32:00,113.22,113.22,113.22,113.22,55478.0,647749008.58
2026-07-20 09:33:00,111.71,111.71,111.71,111.71,77381.0,893608028.83
2026-07-20 09:34:00,113.99,113.99,113.99,113.99,88948.0,1023711489.3
2026-07-20 09:35:00,115.94,115.94,115.94,115.94,100738.0,1158708712.11
2026-07-20 09:36:00,116.15,116.15,116.15,116.15,112495.0,1295163338.56
2026-07-20 09:37:00,115.81,115.81,115.81,115.81,118811.0,1368361105.04
2026-07-20 09:38:00,116.6,116.6,116.6,116.6,126192.0,1454072601.63
2026-07-20 09:39:00,116.81,116.81,116.81,116.81,131309.0,1513826299.04
2026-07-20 09:40:00,116.47,116.47,116.47,116.47,138083.0,1592657612.17
2026-07-20 09:41:00,117.5,117.5,117.5,117.5,142100.0,1639587683.86
2026-07-20 09:42:00,115.68,115.68,115.68,115.68,149823.0,1729614444.02
2026-07-20 09:43:00,114.95,114.95,114.95,114.95,155959.0,1800141973.23
2026-07-20 09:44:00,114.2,114.2,114.2,114.2,161227.0,1860404338.48
2026-07-20 09:45:00,115.21,115.21,115.21,115.21,166116.0,1916715360.06
2026-07-20 09:46:00,114.2,114.2,114.2,114.2,170791.0,1970145758.5
2026-07-20 09:47:00,114.09,114.09,114.09,114.09,174288.0,2010122848.5
2026-07-20 09:48:00,113.37,113.37,113.37,113.37,178072.0,2053148702.36
2026-07-20 09:49:00,113.4,113.4,113.4,113.4,182740.0,2106058173.28
2026-07-20 09:50:00,112.2,112.2,112.2,112.2,188334.0,2169131807.3
2026-07-20 09:51:00,112.11,112.11,112.11,112.11,196589.0,2261611605.34
2026-07-20 09:52:00,111.65,111.65,111.65,111.65,203203.0,2335753801.31
2026-07-20 09:53:00,111.32,111.32,111.32,111.32,213897.0,2454880067.5
2026-07-20 09:54:00,110.9,110.9,110.9,110.9,218821.0,2509594681.95
2026-07-20 09:55:00,110.15,110.15,110.15,110.15,232359.0,2658828375.91
2026-07-20 09:56:00,111.21,111.21,111.21,111.21,244332.0,2791278439.25
2026-07-20 09:57:00,112.33,112.33,112.33,112.33,248994.0,2843366999.72
2026-07-20 09:58:00,112.35,112.35,112.35,112.35,254325.0,2903184885.53
2026-07-20 09:59:00,112.93,112.93,112.93,112.93,257272.0,2936380856.75
2026-07-20 10:00:00,112.96,112.96,112.96,112.96,259955.0,2966784744.57
2026-07-20 10:01:00,111.99,111.99,111.99,111.99,262755.0,2998228394.16
2026-07-20 10:02:00,112.67,112.67,112.67,112.67,265752.0,3031837713.7
2026-07-20 10:03:00,113.66,113.66,113.66,113.66,268817.0,3066570126.52
2026-07-20 10:04:00,113.0,113.0,113.0,113.0,271060.0,3092014074.41
2026-07-20 10:05:00,113.62,113.62,113.62,113.62,273203.0,3116299466.28
2026-07-20 10:06:00,112.98,112.98,112.98,112.98,275165.0,3138537906.17
2026-07-20 10:07:00,112.17,112.17,112.17,112.17,276561.0,3154265661.03
2026-07-20 10:08:00,111.78,111.78,111.78,111.78,278662.0,3177792305.7
2026-07-20 10:09:00,111.71,111.71,111.71,111.71,281290.0,3207145836.24
2026-07-20 10:10:00,111.0,111.0,111.0,111.0,284836.0,3246618727.53
2026-07-20 10:11:00,110.61,110.61,110.61,110.61,286997.0,3270564958.57
