time,open,close,high,low,volume,amount
2026-07-22 09:30:00,42.85,42.85,42.85,42.85,35383.0,151616155.0
2026-07-22 09:31:00,43.28,43.28,43.28,43.28,103159.0,442151782.0
2026-07-22 09:32:00,43.5,43.5,43.5,43.5,154639.0,667576015.56
2026-07-22 09:33:00,43.0,43.0,43.0,43.0,204613.0,885240360.81
2026-07-22 09:34:00,43.29,43.29,43.29,43.29,234108.0,1012968093.92
2026-07-22 09:35:00,43.22,43.22,43.22,43.22,258017.0,1116296268.08
2026-07-22 09:36:00,42.86,42.86,42.86,42.86,283554.0,1226421324.79
2026-07-22 09:37:00,42.98,42.98,42.98,42.98,313249.0,1353976414.14
2026-07-22 09:38:00,43.3,43.3,43.3,43.3,334344.0,1444940585.13
2026-07-22 09:39:00,43.24,43.24,43.24,43.24,365218.0,1578630499.26
2026-07-22 09:40:00,42.68,42.68,42.68,42.68,393931.0,1701885035.85
2026-07-22 09:41:00,42.14,42.14,42.14,42.14,424543.0,1831502719.69
2026-07-22 09:42:00,42.3,42.3,42.3,42.3,446929.0,1926401204.03
2026-07-22 09:43:00,41.84,41.84,41.84,41.84,488911.0,2103165895.17
2026-07-22 09:44:00,42.26,42.26,42.26,42.26,512017.0,2200482761.77
2026-07-22 09:45:00,42.61,42.61,42.61,42.61,532256.0,2286616059.61
2026-07-22 09:46:00,43.05,43.05,43.05,43.05,550573.0,2365327747.38
2026-07-22 09:47:00,43.17,43.17,43.17,43.17,575027.0,2470844052.51
2026-07-22 09:48:00,43.29,43.29,43.29,43.29,601254.0,2584271797.7
2026-07-22 09:49:00,43.06,43.06,43.06,43.06,624347.0,2684100554.85
2026-07-22 09:50:00,42.87,42.87,42.87,42.87,640367.0,2752824529.81
2026-07-22 09:51:00,43.15,43.15,43.15,43.15,655678.0,2818521378.07
2026-07-22 09:52:00,42.83,42.83,42.83,42.83,669036.0,2875912013.99
2026-07-22 09:53:00,42.73,42.73,42.73,42.73,689408.0,2963210132.09
2026-07-22 09:54:00,42.51,42.51,42.51,42.51,707910.0,3041968507.14
2026-07-22 09:55:00,42.35,42.35,42.35,42.35,718505.0,3086964232.18
2026-07-22 09:56:00,42.05,42.05,42.05,42.05,752460.0,3230023535.37
2026-07-22 09:57:00,41.95,41.95,41.95,41.95,788601.0,3381687328.28
2026-07-22 09:58:00,42.26,42.26,42.26,42.26,810873.0,3475452845.43
2026-07-22 09:59:00,42.18,42.18,42.18,42.18,825852.0,3538606521.92
2026-07-22 10:00:00,42.38,42.38,42.38,42.38,837086.0,3586032480.58
2026-07-22 10:01:00,42.16,42.16,42.16,42.16,852144.0,3649624814.81
2026-07-22 10:02:00,42.38,42.38,42.38,42.38,864225.0,3700747043.51
2026-07-22 10:03:00,42.25,42.25,42.25,42.25,876286.0,3751893490.27
2026-07-22 10:04:00,42.02,42.02,42.02,42.02,890783.0,3812851280.05
2026-07-22 10:05:00,42.32,42.32,42.32,42.32,900976.0,3855834798.2
2026-07-22 10:06:00,42.13,42.13,42.13,42.13,908553.0,3887785099.44
2026-07-22 10:07:00,42.06,42.06,42.06,42.06,915675.0,3917762878.58
2026-07-22 10:08:00,42.09,42.09,42.09,42.09,930199.0,3978805684.88
2026-07-22 10:09:00,41.98,41.98,41.98,41.98,938573.0,4014003288.06
2026-07-22 10:10:00,41.93,41.93,41.93,41.93,954278.0,4079787606.9
2026-07-22 10:11:00,41.73,41.73,41.73,41.73,972183.0,4154682223.58
2026-07-22 10:12:00,41.86,41.86,41.86,41.86,982816.0,4199192054.95
2026-07-22 10:13:00,41.7,41.7,41.7,41.7,1003275.0,4284404297.93
2026-07-22 10:14:00,41.53,41.53,41.53,41.53,1032810.0,4407077101.7
2026-07-22 10:15:00,41.52,41.52,41.52,41.52,1048738.0,4473190671.57
2026-07-22 10:16:00,41.7,41.7,41.7,41.7,1057063.0,4507843033.51
2026-07-22 10:17:00,42.0,42.0,42.0,42.0,1067990.0,4553631369.46
2026-07-22 10:18:00,42.16,42.16,42.16,42.16,1079054.0,4600183350.26
2026-07-22 10:19:00,42.07,42.07,42.07,42.07,1089298.0,4643380190.42
2026-07-22 10:20:00,42.2,42.2,42.2,42.2,1096348.0,4673082763.53
2026-07-22 10:21:00,42.24,42.24,42.24,42.24,1106143.0,4714489508.64
2026-07-22 10:22:00,42.3,42.3,42.3,42.3,1114280.0,4748835992.75
2026-07-22 10:23:00,42.46,42.46,42.46,42.46,1123350.0,4787324964.81
2026-07-22 10:24:00,42.27,42.27,42.27,42.27,1128235.0,4808011884.0
