time,open,close,high,low,volume,amount
2026-07-23 09:30:00,113.9,113.9,113.9,113.9,2076.0,23645640.0
2026-07-23 09:31:00,111.83,111.83,111.83,111.83,24069.0,273098270.22
2026-07-23 09:32:00,112.68,112.68,112.68,112.68,35180.0,397865750.22
2026-07-23 09:33:00,112.12,112.12,112.12,112.12,44782.0,505590145.81
2026-07-23 09:34:00,113.4,113.4,113.4,113.4,52975.0,598186836.45
2026-07-23 09:35:00,114.34,114.34,114.34,114.34,58838.0,665076253.78
2026-07-23 09:36:00,114.45,114.45,114.45,114.45,63749.0,721253929.68
2026-07-23 09:37:00,115.33,115.33,115.33,115.33,70121.0,794562250.42
2026-07-23 09:38:00,115.21,115.21,115.21,115.21,78459.0,890831449.95
2026-07-23 09:39:00,114.5,114.5,114.5,114.5,84348.0,958459005.14
2026-07-23 09:40:00,114.66,114.66,114.66,114.66,88467.0,1005741964.64
2026-07-23 09:41:00,114.81,114.81,114.81,114.81,93909.0,1067956863.99
2026-07-23 09:42:00,113.68,113.68,113.68,113.68,99666.0,1133527807.32
2026-07-23 09:43:00,114.98,114.98,114.98,114.98,104521.0,1189055365.5
2026-07-23 09:44:00,115.77,115.77,115.77,115.77,111196.0,1266059906.35
2026-07-23 09:45:00,115.66,115.66,115.66,115.66,116162.0,1323475447.35
2026-07-23 09:46:00,115.15,115.15,115.15,115.15,121441.0,1384471661.16
2026-07-23 09:47:00,115.36,115.36,115.36,115.36,125577.0,1432243817.16
2026-07-23 09:48:00,115.6,115.6,115.6,115.6,129644.0,1479253811.83
2026-07-23 09:49:00,115.29,115.29,115.29,115.29,133494.0,1523753985.49
2026-07-23 09:50:00,115.55,115.55,115.55,115.55,136556.0,1559149562.07
2026-07-23 09:51:00,115.79,115.79,115.79,115.79,140186.0,1601001266.95
2026-07-23 09:52:00,116.33,116.33,116.33,116.33,148583.0,1698425063.06
2026-07-23 09:53:00,116.34,116.34,116.34,116.34,152613.0,1745268671.09
2026-07-23 09:54:00,116.25,116.25,116.25,116.25,156410.0,1789441619.05
2026-07-23 09:55:00,116.38,116.38,116.38,116.38,157502.0,1802145981.0
