time,open,close,high,low,volume,amount
2026-07-20 09:30:00,71.43,71.43,71.43,71.43,2722.0,19443246.0
2026-07-20 09:31:00,71.17,71.17,71.17,71.17,21721.0,155093017.29
2026-07-20 09:32:00,70.32,70.32,70.32,70.32,30970.0,220431016.35
2026-07-20 09:33:00,69.83,69.83,69.83,69.83,40051.0,284040342.44
2026-07-20 09:34:00,70.59,70.59,70.59,70.59,45803.0,324435628.63
2026-07-20 09:35:00,71.25,71.25,71.25,71.25,50578.0,358297056.75
2026-07-20 09:36:00,71.22,71.22,71.22,71.22,56300.0,399106172.53
2026-07-20 09:37:00,71.1,71.1,71.1,71.1,61208.0,434091335.03
2026-07-20 09:38:00,71.51,71.51,71.51,71.51,65862.0,467351290.65
2026-07-20 09:39:00,71.58,71.58,71.58,71.58,72650.0,516080362.88
2026-07-20 09:40:00,71.46,71.46,71.46,71.46,76377.0,542726562.76
2026-07-20 09:41:00,71.63,71.63,71.63,71.63,80328.0,571018150.25
2026-07-20 09:42:00,71.0,71.0,71.0,71.0,83298.0,592192038.52
2026-07-20 09:43:00,70.87,70.87,70.87,70.87,87938.0,625090995.19
2026-07-20 09:44:00,70.38,70.38,70.38,70.38,91221.0,648235437.6
2026-07-20 09:45:00,70.8,70.8,70.8,70.8,94425.0,670983935.68
2026-07-20 09:46:00,70.45,70.45,70.45,70.45,97767.0,694492947.63
2026-07-20 09:47:00,69.8,69.8,69.8,69.8,101369.0,719734471.96
2026-07-20 09:48:00,69.68,69.68,69.68,69.68,105602.0,749251322.95
2026-07-20 09:49:00,69.78,69.78,69.78,69.78,108080.0,766551311.97
2026-07-20 09:50:00,69.31,69.31,69.31,69.31,111325.0,789108849.57
2026-07-20 09:51:00,69.19,69.19,69.19,69.19,115220.0,816086038.71
2026-07-20 09:52:00,68.7,68.7,68.7,68.7,119931.0,848552385.64
2026-07-20 09:53:00,68.79,68.79,68.79,68.79,123654.0,874155632.97
2026-07-20 09:54:00,68.47,68.47,68.47,68.47,127505.0,900538034.54
2026-07-20 09:55:00,68.14,68.14,68.14,68.14,131689.0,929116472.42
2026-07-20 09:56:00,68.74,68.74,68.74,68.74,135814.0,957377660.84
2026-07-20 09:57:00,68.93,68.93,68.93,68.93,139758.0,984535634.64
2026-07-20 09:58:00,69.16,69.16,69.16,69.16,143058.0,1007355899.8
2026-07-20 09:59:00,69.42,69.42,69.42,69.42,145524.0,1024434487.57
