date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,23.49,23.33,23.67,22.94,1167686.0,27222652.946666665,volume_hlc3_fallback,27222652.946666665,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-10,22.69,22.19,22.73,22.06,739980.0,16521286.8,volume_hlc3_fallback,16521286.8,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-13,22.25,23.17,23.27,22.05,1035821.0,23647793.430000003,volume_hlc3_fallback,23647793.430000003,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-14,24.58,23.0,25.21,22.69,1391025.0,32874557.500000004,volume_hlc3_fallback,32874557.500000004,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-15,23.69,23.42,23.95,22.7,740674.0,17299675.726666667,volume_hlc3_fallback,17299675.726666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-16,23.69,22.8,23.86,22.6,654628.0,15113178.426666668,volume_hlc3_fallback,15113178.426666668,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-17,23.49,22.56,23.58,22.45,831591.0,19012942.23,volume_hlc3_fallback,19012942.23,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-20,21.7,21.17,22.04,20.99,767727.0,16429357.8,volume_hlc3_fallback,16429357.8,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-21,21.6,21.18,21.6,21.08,511107.0,10879764.34,volume_hlc3_fallback,10879764.34,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-22,19.75,20.23,20.35,19.71,581054.0,11677248.553333335,volume_hlc3_fallback,11677248.553333335,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-23,19.92,19.98,20.14,19.41,547845.0,10871070.950000001,volume_hlc3_fallback,10871070.950000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-24,19.98,19.83,20.09,19.74,454680.0,9042069.6,volume_hlc3_fallback,9042069.6,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-27,19.68,20.12,20.16,19.62,580207.0,11584799.766666668,volume_hlc3_fallback,11584799.766666668,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-28,19.78,19.65,20.05,19.58,552462.0,10916649.12,volume_hlc3_fallback,10916649.12,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-29,19.8,20.31,20.31,19.79,551288.0,11101102.693333333,volume_hlc3_fallback,11101102.693333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-30,20.01,20.0,20.37,19.77,550292.0,11031520.293333333,volume_hlc3_fallback,11031520.293333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-10-31,21.44,21.44,22.03,21.12,1702609.0,36657171.77,volume_hlc3_fallback,36657171.77,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-03,20.93,20.9,21.23,20.12,883457.0,18331732.75,volume_hlc3_fallback,18331732.75,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-04,20.68,20.23,20.87,19.96,473721.0,9641801.420000002,volume_hlc3_fallback,9641801.420000002,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-05,19.73,20.35,20.5,19.7,389378.0,7858945.966666667,volume_hlc3_fallback,7858945.966666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-06,20.25,20.6,20.67,20.2,312355.0,6400153.95,volume_hlc3_fallback,6400153.95,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-07,20.5,20.63,21.1,20.47,316578.0,6563717.2,volume_hlc3_fallback,6563717.2,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-10,21.62,21.85,22.15,21.57,841013.0,18381740.80333333,volume_hlc3_fallback,18381740.80333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-11,22.22,22.27,23.0,21.51,890389.0,19820059.14,volume_hlc3_fallback,19820059.14,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-12,22.24,22.61,23.1,22.06,716620.0,16188445.8,volume_hlc3_fallback,16188445.8,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-13,23.3,22.96,23.38,22.63,783985.0,18023815.15,volume_hlc3_fallback,18023815.15,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-14,22.52,22.36,22.9,22.3,497832.0,11211176.64,volume_hlc3_fallback,11211176.64,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-17,21.91,21.94,22.12,21.71,383090.0,8398609.766666666,volume_hlc3_fallback,8398609.766666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-18,21.82,21.25,21.87,21.1,326444.0,6988077.893333334,volume_hlc3_fallback,6988077.893333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-19,21.63,22.13,22.43,21.52,555216.0,12229557.76,volume_hlc3_fallback,12229557.76,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-20,21.99,22.18,22.66,21.95,449565.0,10008815.45,volume_hlc3_fallback,10008815.45,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-21,21.7,21.05,21.89,20.99,484000.0,10314040.0,volume_hlc3_fallback,10314040.0,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-24,21.04,21.5,21.97,20.81,413150.0,8852427.333333332,volume_hlc3_fallback,8852427.333333332,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-25,22.0,22.11,22.4,21.76,483744.0,10685904.959999999,volume_hlc3_fallback,10685904.959999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-26,22.15,21.9,22.31,21.87,302645.0,6666260.533333333,volume_hlc3_fallback,6666260.533333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-27,22.01,21.69,22.11,21.6,341410.0,7442738.0,volume_hlc3_fallback,7442738.0,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-11-28,22.25,21.88,22.28,21.73,424212.0,9317109.56,volume_hlc3_fallback,9317109.56,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-01,22.3,22.15,22.64,21.97,535951.0,11926696.253333332,volume_hlc3_fallback,11926696.253333332,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-02,21.85,21.45,21.87,21.38,402518.0,8680971.533333333,volume_hlc3_fallback,8680971.533333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-03,21.5,20.99,21.55,20.83,437531.0,9242113.156666666,volume_hlc3_fallback,9242113.156666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-04,21.05,20.72,21.14,20.66,319652.0,6661547.68,volume_hlc3_fallback,6661547.68,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-05,20.72,21.16,21.19,20.67,303109.0,6367309.726666666,volume_hlc3_fallback,6367309.726666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-08,20.96,20.87,21.02,20.7,344907.0,7195909.71,volume_hlc3_fallback,7195909.71,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-09,20.71,20.44,20.73,20.27,362702.0,7428136.96,volume_hlc3_fallback,7428136.96,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-10,20.61,20.66,20.69,20.45,266395.0,5487736.999999999,volume_hlc3_fallback,5487736.999999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-11,20.8,20.43,20.92,20.4,307839.0,6336352.75,volume_hlc3_fallback,6336352.75,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-12,20.9,20.92,20.95,20.59,406508.0,8463496.56,volume_hlc3_fallback,8463496.56,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-15,20.84,21.21,21.27,20.73,382149.0,8051879.43,volume_hlc3_fallback,8051879.43,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-16,20.82,20.14,20.94,20.09,418443.0,8532052.77,volume_hlc3_fallback,8532052.77,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-17,20.28,20.72,20.9,20.25,368338.0,7596357.353333333,volume_hlc3_fallback,7596357.353333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-18,20.7,20.79,21.09,20.55,310765.0,6467019.649999999,volume_hlc3_fallback,6467019.649999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-19,20.61,20.95,20.95,20.38,295558.0,6135784.08,volume_hlc3_fallback,6135784.08,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-22,21.21,21.53,21.66,21.14,472850.0,10139480.166666666,volume_hlc3_fallback,10139480.166666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-23,21.88,21.61,22.06,21.52,535950.0,11646193.5,volume_hlc3_fallback,11646193.5,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-24,21.85,21.32,21.9,21.24,439077.0,9434301.14,volume_hlc3_fallback,9434301.14,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-25,21.1,20.77,21.1,20.65,419503.0,8742442.52,volume_hlc3_fallback,8742442.52,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-26,21.11,21.26,21.34,20.97,441602.0,9357546.38,volume_hlc3_fallback,9357546.38,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-29,21.26,20.96,21.6,20.95,544685.0,11530981.45,volume_hlc3_fallback,11530981.45,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-30,20.32,21.0,21.1,20.24,427726.0,8888146.280000001,volume_hlc3_fallback,8888146.280000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2025-12-31,20.86,20.79,21.29,20.63,332745.0,6955479.649999999,volume_hlc3_fallback,6955479.649999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2026-01-05,21.13,21.41,21.59,21.11,599480.0,12810887.600000001,volume_hlc3_fallback,12810887.600000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
2026-01-06,21.61,21.89,22.2,21.51,624516.0,13656083.199999997,volume_hlc3_fallback,13656083.199999997,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:08
