date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,113.0,113.48,113.86,111.07,63200.0,7129170.666666667,cache,7129170.666666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-10,112.92,111.01,113.5,109.78,60905.0,6786644.15,cache,6786644.15,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-13,104.9,105.42,109.75,104.16,57796.0,6151998.893333333,cache,6151998.893333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-14,106.48,102.0,107.61,101.51,59053.0,6124189.786666666,cache,6124189.786666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-15,102.57,106.07,106.22,100.8,47891.0,4998064.3966666665,cache,4998064.3966666665,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-16,105.88,105.44,107.41,105.02,36149.0,3830227.543333333,cache,3830227.543333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-17,105.8,103.0,106.45,102.88,37239.0,3876952.29,cache,3876952.29,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-20,104.02,105.8,108.48,103.03,50273.0,5317375.21,cache,5317375.21,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-21,106.1,107.06,107.43,105.06,37256.0,3968384.933333333,cache,3968384.933333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-22,106.7,105.51,108.72,105.21,29905.0,3184284.4,cache,3184284.4,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-23,105.0,104.4,105.9,102.0,41829.0,4354398.9,cache,4354398.9,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-24,104.5,105.76,107.8,104.21,52219.0,5531210.543333333,cache,5531210.543333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-27,107.88,104.74,110.86,103.39,100615.0,10698392.95,cache,10698392.95,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-28,103.7,103.33,105.0,102.82,41068.0,4259436.066666666,cache,4259436.066666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-29,103.3,105.96,106.0,101.5,76896.0,8034606.72,cache,8034606.72,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-30,105.0,102.53,105.0,101.47,68204.0,7025012.0,cache,7025012.0,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-10-31,100.0,98.09,100.0,95.59,136976.0,13409037.226666668,cache,13409037.226666668,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-03,98.7,98.96,99.5,97.3,53668.0,5290949.226666667,cache,5290949.226666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-04,98.95,95.36,98.95,95.1,58945.0,5686424.15,cache,5686424.15,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-05,94.3,93.91,95.8,93.88,41002.0,3875919.060000001,cache,3875919.060000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-06,94.0,94.9,94.9,93.85,29110.0,2752350.5,cache,2752350.5,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-07,94.03,95.19,96.42,93.38,44500.0,4227351.666666667,cache,4227351.666666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-10,94.99,95.43,95.62,94.3,35044.0,3333268.466666667,cache,3333268.466666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-11,95.6,94.05,95.6,93.81,29646.0,2801151.72,cache,2801151.72,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-12,94.05,94.31,95.75,94.0,31953.0,3025523.06,cache,3025523.06,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-13,94.56,96.19,96.49,94.1,57101.0,5458474.926666666,cache,5458474.926666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-14,95.5,95.31,96.96,94.88,40014.0,3830006.7,cache,3830006.7,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-17,94.0,92.7,94.92,92.12,47742.0,4451782.36,cache,4451782.36,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-18,92.65,92.95,93.3,92.0,23065.0,2139278.75,cache,2139278.75,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-19,93.0,91.61,93.4,91.01,26356.0,2424927.706666667,cache,2424927.706666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
2025-11-20,91.9,91.0,92.7,90.62,27140.0,2481681.6,cache,2481681.6,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:52
