date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,amount_anchor_ratio,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,63.2,66.97,66.97,62.7,1292159.0,84696715.25333333,cache,84696715.25333333,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-10,67.0,63.93,69.3,62.78,1561771.0,102040911.23666663,cache,102040911.23666663,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-13,59.2,69.75,70.0,59.2,1373612.0,91093369.13333333,cache,91093369.13333333,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-14,69.75,68.52,72.74,67.66,1291349.0,89929544.35999998,cache,89929544.35999998,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-15,68.54,66.18,70.95,62.8,1266979.0,84435703.82333332,cache,84435703.82333332,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-16,65.01,64.96,67.07,63.8,827269.0,54001362.75666666,cache,54001362.75666666,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-17,65.0,60.96,66.3,60.75,1000319.0,62689991.73,cache,62689991.73,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-20,62.0,60.69,62.9,60.0,814318.0,49833547.20666666,cache,49833547.20666666,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-21,61.33,61.59,62.0,60.15,648708.0,39731202.64,cache,39731202.64,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-22,60.51,60.78,61.8,59.11,605161.0,36650567.36333333,cache,36650567.36333333,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-23,60.51,64.16,64.43,60.03,1019631.0,64107599.74,cache,64107599.74,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-24,64.48,64.3,66.46,63.89,948208.0,61522895.73333333,cache,61522895.73333333,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-27,65.0,65.53,66.3,64.5,784589.0,51346119.45666667,cache,51346119.45666667,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-28,65.15,64.68,66.19,63.8,713765.0,46316210.85,cache,46316210.85,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-29,65.57,68.7,69.66,65.01,1107316.0,75064951.64,cache,75064951.64,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-30,69.17,72.37,75.0,68.2,1462921.0,105120626.65666668,cache,105120626.65666668,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-10-31,72.0,69.02,75.0,69.0,1337082.0,94941735.88,cache,94941735.88,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-11-03,70.49,68.32,70.8,66.5,907979.0,62232880.66,cache,62232880.66,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-11-04,68.1,66.15,69.0,65.45,694754.0,46455884.133333325,cache,46455884.133333325,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
2025-11-05,64.0,66.8,68.17,63.5,873801.0,57807761.49000001,cache,57807761.49000001,volume_hlc3_fallback,0.00692899045629129,v4,daily,2026-06-17 10:18:50
