date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,34.8,34.68,35.4,34.4,1874111.0,65269039.09333332,volume_hlc3_fallback,65269039.09333332,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-10,34.6,33.65,34.6,33.37,2203350.0,74634809.0,volume_hlc3_fallback,74634809.0,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-13,32.3,33.77,34.5,32.12,1741477.0,58275625.34333334,volume_hlc3_fallback,58275625.34333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-14,34.0,33.1,34.32,33.1,1995803.0,66872705.85333334,volume_hlc3_fallback,66872705.85333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-15,33.42,32.95,33.56,32.51,1204211.0,39746991.07333334,volume_hlc3_fallback,39746991.07333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-16,32.95,32.48,32.96,32.27,1124553.0,36626691.21,volume_hlc3_fallback,36626691.21,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-20,32.1,32.02,32.39,31.62,1204251.0,38548074.51,volume_hlc3_fallback,38548074.51,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-21,32.08,32.47,32.55,31.67,1365229.0,44001330.669999994,volume_hlc3_fallback,44001330.669999994,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-22,32.44,32.25,32.91,31.99,1393638.0,45130643.9,volume_hlc3_fallback,45130643.9,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-23,32.26,31.95,32.41,31.36,1091645.0,34830753.13333333,volume_hlc3_fallback,34830753.13333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-24,32.14,33.12,33.13,32.11,1848728.0,60613628.693333335,volume_hlc3_fallback,60613628.693333335,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
2025-10-27,33.55,33.3,34.04,32.97,1733338.0,57957044.926666655,volume_hlc3_fallback,57957044.926666655,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:49
