date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,457.0,458.05,473.66,452.81,170388.0,78635197.92,cache,78635197.92,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-10,449.97,437.9,454.44,432.0,143862.0,63507400.36000001,cache,63507400.36000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-13,424.0,435.8,442.72,422.01,100474.0,43556483.74,cache,43556483.74,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-14,441.15,402.0,442.72,398.0,161221.0,66784187.04,cache,66784187.04,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-15,405.5,412.38,413.55,395.54,108560.0,44200927.73333333,cache,44200927.73333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-16,412.0,410.69,418.78,407.34,67135.0,27677746.45,cache,27677746.45,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-17,408.0,399.43,409.8,398.08,72358.0,29119512.326666668,cache,29119512.326666668,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-20,406.0,400.16,411.0,398.23,77460.0,31226449.800000004,cache,31226449.800000004,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-21,402.72,408.49,410.93,401.2,75399.0,30677842.46,cache,30677842.46,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-22,405.0,404.39,407.68,400.0,57613.0,23276996.30333333,cache,23276996.30333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-23,401.28,403.58,404.88,396.52,47542.0,19095719.720000003,cache,19095719.720000003,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-24,406.02,414.8,417.6,406.0,89561.0,36970780.8,cache,36970780.8,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
2025-10-27,422.3,429.1,433.47,418.63,112345.0,47978804.66666666,cache,47978804.66666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:46
