date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,15.8,15.89,16.1,15.73,309798.0,4927853.52,volume_hlc3_fallback,4927853.52,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-10,15.81,15.67,15.95,15.42,273741.0,4292258.88,volume_hlc3_fallback,4292258.88,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-13,15.0,15.58,15.65,14.83,267720.0,4110394.4,volume_hlc3_fallback,4110394.4,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-14,15.7,15.15,16.23,15.0,348148.0,5382368.08,volume_hlc3_fallback,5382368.08,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-15,15.2,16.04,16.16,15.05,504736.0,7949592.0,volume_hlc3_fallback,7949592.0,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-16,15.93,15.86,16.07,15.74,279467.0,4440730.63,volume_hlc3_fallback,4440730.63,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-17,15.84,14.88,15.84,14.83,426110.0,6469770.166666668,volume_hlc3_fallback,6469770.166666668,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-20,15.08,15.34,15.56,15.0,262865.0,4021834.5000000005,volume_hlc3_fallback,4021834.5000000005,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-21,15.33,15.5,15.73,15.25,278522.0,4315234.1866666665,volume_hlc3_fallback,4315234.1866666665,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-22,15.45,15.55,15.75,15.26,252411.0,3917418.72,volume_hlc3_fallback,3917418.72,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-23,15.56,15.83,15.88,15.52,273130.0,4299976.633333333,volume_hlc3_fallback,4299976.633333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-24,15.92,17.41,17.41,15.9,1178094.0,19917642.56,volume_hlc3_fallback,19917642.56,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-27,17.41,17.23,17.5,16.98,1047093.0,18048393.01,volume_hlc3_fallback,18048393.01,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-28,17.24,17.08,17.29,16.95,501529.0,8579489.426666666,volume_hlc3_fallback,8579489.426666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-29,16.96,17.67,18.0,16.88,1069942.0,18741817.366666667,volume_hlc3_fallback,18741817.366666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-30,17.37,16.59,17.37,16.51,775691.0,13049708.256666668,volume_hlc3_fallback,13049708.256666668,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-10-31,16.68,16.93,17.0,16.47,511081.0,8586160.8,volume_hlc3_fallback,8586160.8,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-03,16.74,17.18,17.3,16.62,449344.0,7653826.133333334,volume_hlc3_fallback,7653826.133333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-04,17.06,17.68,17.9,17.0,710721.0,12456570.06,volume_hlc3_fallback,12456570.06,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-05,17.3,17.49,17.63,17.05,479918.0,8345774.0200000005,volume_hlc3_fallback,8345774.0200000005,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-06,17.49,18.19,18.58,17.36,750931.0,13549298.343333334,volume_hlc3_fallback,13549298.343333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-07,17.86,17.99,18.0,17.64,458526.0,8196916.459999999,volume_hlc3_fallback,8196916.459999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-10,18.07,17.7,18.25,17.44,409347.0,7285012.11,volume_hlc3_fallback,7285012.11,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-11,17.61,17.02,17.67,17.0,418376.0,7208618.48,volume_hlc3_fallback,7208618.48,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-12,17.06,16.64,17.18,16.51,346071.0,5805917.8100000005,volume_hlc3_fallback,5805917.8100000005,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-13,16.6,16.72,16.87,16.5,268704.0,4486461.120000001,volume_hlc3_fallback,4486461.120000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-14,16.6,16.21,16.6,16.2,324632.0,5303404.773333333,volume_hlc3_fallback,5303404.773333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-17,16.21,16.3,16.43,16.13,192226.0,3130720.7866666666,volume_hlc3_fallback,3130720.7866666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-18,17.83,17.34,17.93,17.21,1275034.0,22304594.773333337,volume_hlc3_fallback,22304594.773333337,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-19,17.05,16.89,17.25,16.57,858054.0,14503972.78,volume_hlc3_fallback,14503972.78,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-20,17.22,16.96,17.85,16.91,721954.0,12446486.96,volume_hlc3_fallback,12446486.96,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-21,16.56,15.49,16.96,15.46,761146.0,12155501.620000001,volume_hlc3_fallback,12155501.620000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-24,15.67,15.78,15.93,15.25,362679.0,5677135.28,volume_hlc3_fallback,5677135.28,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-25,15.9,16.24,16.44,15.81,398419.0,6439779.103333333,volume_hlc3_fallback,6439779.103333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
2025-11-26,16.15,15.82,16.22,15.78,249745.0,3980935.3,volume_hlc3_fallback,3980935.3,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:10
