date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,14.1,14.38,14.45,14.08,149487.0,2138162.39,volume_hlc3_fallback,2138162.39,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-10,14.31,13.6,14.35,13.58,153001.0,2118043.8433333333,volume_hlc3_fallback,2118043.8433333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-13,12.89,14.28,14.3,12.61,197926.0,2717523.9799999995,volume_hlc3_fallback,2717523.9799999995,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-14,14.45,13.92,14.85,13.83,210594.0,2990434.8000000003,volume_hlc3_fallback,2990434.8000000003,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-15,14.15,14.38,15.2,14.05,254546.0,3701947.326666667,volume_hlc3_fallback,3701947.326666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-16,14.11,13.74,14.23,13.7,171359.0,2380176.5100000002,volume_hlc3_fallback,2380176.5100000002,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-17,13.65,13.51,14.56,13.5,132633.0,1837851.27,volume_hlc3_fallback,1837851.27,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-20,13.59,13.38,13.66,13.25,95944.0,1288527.92,volume_hlc3_fallback,1288527.92,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-21,13.46,13.33,13.5,13.27,85158.0,1138278.6,volume_hlc3_fallback,1138278.6,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-22,13.28,13.2,13.42,13.06,66986.0,886001.4933333333,volume_hlc3_fallback,886001.4933333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-23,13.16,13.47,13.5,12.97,85988.0,1144786.9066666665,volume_hlc3_fallback,1144786.9066666665,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
2025-10-24,13.48,13.37,13.48,13.31,65284.0,873935.1466666666,volume_hlc3_fallback,873935.1466666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:15
