date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,51.6,51.3,52.68,51.2,20367.0,1053517.02,volume_hlc3_fallback,1053517.02,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-10,51.29,51.38,52.72,50.85,27826.0,1437212.9,volume_hlc3_fallback,1437212.9,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-13,48.99,49.17,50.08,47.36,30484.0,1489753.08,volume_hlc3_fallback,1489753.08,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-14,49.55,47.97,50.54,47.83,25864.0,1261645.92,volume_hlc3_fallback,1261645.92,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-15,48.33,49.04,49.38,47.97,20369.0,993939.3033333332,volume_hlc3_fallback,993939.3033333332,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-16,49.01,48.25,49.05,48.11,18029.0,873865.63,volume_hlc3_fallback,873865.63,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-17,48.25,46.5,48.5,46.3,19011.0,895418.1,volume_hlc3_fallback,895418.1,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-20,47.65,47.36,48.15,46.79,16537.0,784405.0333333334,volume_hlc3_fallback,784405.0333333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-21,47.6,49.93,50.27,47.35,28868.0,1419824.4666666668,volume_hlc3_fallback,1419824.4666666668,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-22,49.7,50.66,52.38,49.0,35909.0,1819868.1199999999,volume_hlc3_fallback,1819868.1199999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-23,50.14,49.85,50.64,48.9,16556.0,824433.6133333332,volume_hlc3_fallback,824433.6133333332,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-24,49.99,50.73,51.2,49.6,23886.0,1206481.8599999999,volume_hlc3_fallback,1206481.8599999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-27,52.02,51.43,52.38,50.42,28653.0,1473050.7300000002,volume_hlc3_fallback,1473050.7300000002,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-28,51.21,52.79,53.68,50.9,45114.0,2366530.06,volume_hlc3_fallback,2366530.06,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-29,53.83,53.28,55.4,52.59,41440.0,2227676.2666666666,volume_hlc3_fallback,2227676.2666666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-30,53.02,50.99,53.79,50.64,29754.0,1541455.56,volume_hlc3_fallback,1541455.56,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-10-31,50.9,50.91,51.62,50.2,19182.0,976555.6199999999,volume_hlc3_fallback,976555.6199999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-03,50.95,50.26,50.96,48.96,19216.0,961952.9600000001,volume_hlc3_fallback,961952.9600000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-04,50.25,49.1,50.35,48.8,14375.0,710364.5833333333,volume_hlc3_fallback,710364.5833333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-05,48.8,48.77,49.18,47.9,13936.0,677521.8666666667,volume_hlc3_fallback,677521.8666666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-06,48.77,49.62,50.71,48.75,21298.0,1058368.6133333333,volume_hlc3_fallback,1058368.6133333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-07,49.37,48.55,49.37,48.42,15245.0,743651.0999999999,volume_hlc3_fallback,743651.0999999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-10,49.26,48.23,49.26,47.93,12094.0,586236.4933333333,volume_hlc3_fallback,586236.4933333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-11,48.25,47.31,48.95,47.16,13908.0,664895.1200000001,volume_hlc3_fallback,664895.1200000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-12,48.03,50.17,51.8,48.03,44030.0,2201500.0,volume_hlc3_fallback,2201500.0,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-13,49.12,52.72,53.47,48.68,52536.0,2712083.44,volume_hlc3_fallback,2712083.44,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-14,51.34,52.3,53.24,50.32,34955.0,1816028.7666666668,volume_hlc3_fallback,1816028.7666666668,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-17,51.73,52.9,53.25,50.88,27731.0,1451532.9766666666,volume_hlc3_fallback,1451532.9766666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-18,52.5,53.9,56.2,52.5,45538.0,2468159.5999999996,volume_hlc3_fallback,2468159.5999999996,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-19,53.93,52.41,54.91,51.68,27430.0,1453790.0,volume_hlc3_fallback,1453790.0,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-20,52.87,52.83,54.69,52.39,21533.0,1147780.6766666668,volume_hlc3_fallback,1147780.6766666668,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-21,51.68,53.8,54.27,51.68,32787.0,1745907.75,volume_hlc3_fallback,1745907.75,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-24,53.62,53.6,55.16,51.9,34032.0,1822527.04,volume_hlc3_fallback,1822527.04,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-25,53.61,56.12,56.96,53.61,44326.0,2462900.3133333335,volume_hlc3_fallback,2462900.3133333335,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-26,55.56,55.12,56.46,54.29,29188.0,1613804.52,volume_hlc3_fallback,1613804.52,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-27,55.13,56.4,58.35,55.13,42019.0,2379395.9066666667,volume_hlc3_fallback,2379395.9066666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-11-28,55.92,59.52,61.52,55.6,45917.0,2703592.96,volume_hlc3_fallback,2703592.96,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-12-01,59.52,57.56,59.7,57.33,30681.0,1785531.93,volume_hlc3_fallback,1785531.93,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-12-02,57.21,58.14,58.47,57.08,20150.0,1166617.8333333333,volume_hlc3_fallback,1166617.8333333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-12-03,58.3,57.7,58.7,57.36,15865.0,918900.7999999999,volume_hlc3_fallback,918900.7999999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-12-04,57.67,57.69,58.09,56.47,14012.0,804522.3333333333,volume_hlc3_fallback,804522.3333333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-12-05,57.98,57.68,58.58,57.24,13890.0,803305.0,volume_hlc3_fallback,803305.0,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-12-08,57.58,58.29,58.99,57.05,14420.0,837946.1999999998,volume_hlc3_fallback,837946.1999999998,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
2025-12-09,58.29,58.7,59.82,58.0,19118.0,1124903.1199999999,volume_hlc3_fallback,1124903.1199999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:24
