date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,2.56,2.62,2.65,2.54,1331673.0,3466788.7099999995,volume_hlc3_fallback,3466788.7099999995,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-10,2.61,2.56,2.62,2.55,1127192.0,2904398.053333333,volume_hlc3_fallback,2904398.053333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-13,2.46,2.5,2.5,2.43,1175231.0,2910655.4433333334,volume_hlc3_fallback,2910655.4433333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-14,2.5,2.55,2.64,2.5,1922136.0,4927075.28,volume_hlc3_fallback,4927075.28,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-15,2.55,2.6,2.64,2.52,1532521.0,3964120.9866666663,volume_hlc3_fallback,3964120.9866666663,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-16,2.6,2.54,2.6,2.52,1061643.0,2710728.46,volume_hlc3_fallback,2710728.46,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-17,2.56,2.47,2.6,2.45,1342887.0,3366170.080000001,volume_hlc3_fallback,3366170.080000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-20,2.48,2.45,2.49,2.43,770098.0,1891874.0866666667,volume_hlc3_fallback,1891874.0866666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-21,2.46,2.49,2.5,2.44,814706.0,2017755.1933333334,volume_hlc3_fallback,2017755.1933333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-22,2.48,2.48,2.51,2.46,758056.0,1882505.733333333,volume_hlc3_fallback,1882505.733333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-23,2.47,2.48,2.49,2.44,673636.0,1663880.9200000002,volume_hlc3_fallback,1663880.9200000002,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-24,2.48,2.46,2.51,2.45,655259.0,1620673.9266666665,volume_hlc3_fallback,1620673.9266666665,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-27,2.47,2.45,2.49,2.44,813442.0,2001067.32,volume_hlc3_fallback,2001067.32,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
2025-10-28,2.44,2.43,2.45,2.42,646827.0,1573945.7000000002,volume_hlc3_fallback,1573945.7000000002,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:50
