date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,10.158,10.168,10.178,10.048,42344.0,429001.1786666666,volume_hlc3_fallback,429001.1786666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-10,10.148,10.318,10.358,10.138,55339.0,568405.3153333333,volume_hlc3_fallback,568405.3153333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-13,10.128,10.198,10.308,10.098,46722.0,476626.69599999994,volume_hlc3_fallback,476626.69599999994,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-14,10.198,10.348,10.348,10.178,55273.0,568832.8673333334,volume_hlc3_fallback,568832.8673333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-15,10.378,10.368,10.468,10.308,41473.0,430545.0373333333,volume_hlc3_fallback,430545.0373333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-16,10.438,10.348,10.438,10.318,38116.0,395186.688,volume_hlc3_fallback,395186.688,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-17,10.368,10.328,10.448,10.288,47104.0,487746.21866666665,volume_hlc3_fallback,487746.21866666665,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-20,10.318,10.258,10.388,10.258,40103.0,413114.3706666667,volume_hlc3_fallback,413114.3706666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-21,10.258,10.318,10.348,10.258,31937.0,329206.596,volume_hlc3_fallback,329206.596,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-22,10.328,10.288,10.388,10.268,36158.0,372957.7173333333,volume_hlc3_fallback,372957.7173333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-23,10.288,10.358,10.378,10.278,30706.0,317438.62799999997,volume_hlc3_fallback,317438.62799999997,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-24,10.368,10.268,10.388,10.208,52908.0,544317.504,volume_hlc3_fallback,544317.504,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-27,10.288,10.308,10.428,10.218,62459.0,644451.9619999999,volume_hlc3_fallback,644451.9619999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-28,10.408,10.408,10.428,10.318,54302.0,563908.1693333334,volume_hlc3_fallback,563908.1693333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-29,10.398,10.438,10.448,10.338,39562.0,411761.29600000003,volume_hlc3_fallback,411761.29600000003,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-30,10.438,10.548,10.648,10.378,82983.0,873368.414,volume_hlc3_fallback,873368.414,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-31,10.508,10.588,10.658,10.488,75786.0,801664.3080000001,volume_hlc3_fallback,801664.3080000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-03,10.648,10.988,11.048,10.618,181446.0,1974979.228,volume_hlc3_fallback,1974979.228,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-04,10.968,10.818,10.968,10.768,90025.0,976891.2833333334,volume_hlc3_fallback,976891.2833333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-05,10.808,10.838,10.948,10.748,59287.0,642947.7526666666,volume_hlc3_fallback,642947.7526666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-06,10.838,10.828,10.898,10.748,53458.0,578665.0306666667,volume_hlc3_fallback,578665.0306666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-07,10.828,10.868,10.958,10.798,46416.0,504758.52800000005,volume_hlc3_fallback,504758.52800000005,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
