date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,29.83,28.88,30.25,28.74,6551855.0,191903832.94999996,volume_hlc3_fallback,191903832.94999996,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-10,28.94,28.0,28.94,27.64,4631211.0,130569275.46,volume_hlc3_fallback,130569275.46,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-13,26.15,28.12,28.34,26.15,4460167.0,122818131.95666666,volume_hlc3_fallback,122818131.95666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-14,28.12,27.4,28.73,27.2,3344996.0,92912838.89333333,volume_hlc3_fallback,92912838.89333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-15,27.68,28.28,28.32,27.0,3613980.0,100709575.99999999,volume_hlc3_fallback,100709575.99999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-16,28.04,27.32,28.15,27.15,2743403.0,75553318.62,volume_hlc3_fallback,75553318.62,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-17,27.31,25.75,27.59,25.64,3492880.0,91955887.46666667,volume_hlc3_fallback,91955887.46666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-20,26.24,26.57,26.98,25.84,2378636.0,62946637.34666667,volume_hlc3_fallback,62946637.34666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-21,26.77,28.23,28.26,26.77,3902025.0,108294200.5,volume_hlc3_fallback,108294200.5,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-22,28.17,28.63,29.09,27.73,3595477.0,102411169.88333334,volume_hlc3_fallback,102411169.88333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-23,28.54,28.26,28.7,27.64,2777652.0,78329786.4,volume_hlc3_fallback,78329786.4,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-24,28.34,28.92,29.12,28.14,3643322.0,104660496.65333335,volume_hlc3_fallback,104660496.65333335,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-27,28.84,28.66,29.42,27.96,5550737.0,159195137.16000003,volume_hlc3_fallback,159195137.16000003,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-28,28.16,28.42,29.12,28.12,3672196.0,104853436.45333332,volume_hlc3_fallback,104853436.45333332,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-29,28.22,27.78,29.12,27.69,3424038.0,96546458.14,volume_hlc3_fallback,96546458.14,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-30,27.61,27.45,28.02,27.2,2563069.0,70629638.07666667,volume_hlc3_fallback,70629638.07666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-10-31,27.69,27.56,27.88,27.27,2325414.0,64111663.97999999,volume_hlc3_fallback,64111663.97999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-11-03,27.6,27.04,27.6,26.72,2677264.0,72607399.68,volume_hlc3_fallback,72607399.68,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-11-04,27.29,26.51,27.29,26.37,2220691.0,59344265.82333333,volume_hlc3_fallback,59344265.82333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-11-05,26.37,26.75,27.09,26.17,2858060.0,76224460.2,volume_hlc3_fallback,76224460.2,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
2025-11-06,26.82,26.96,27.12,26.47,1923710.0,51651613.50000001,volume_hlc3_fallback,51651613.50000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:59
