date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,15.2,15.4,15.43,15.15,40957.0,627734.2866666666,volume_hlc3_fallback,627734.2866666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-10,15.4,15.48,15.53,15.26,57543.0,887504.8699999999,volume_hlc3_fallback,887504.8699999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-13,15.1,15.4,15.45,15.03,38755.0,592693.1333333333,volume_hlc3_fallback,592693.1333333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-14,15.4,15.16,15.45,15.03,54914.0,835424.9866666667,volume_hlc3_fallback,835424.9866666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-15,15.16,15.21,15.24,15.04,37475.0,568245.9166666667,volume_hlc3_fallback,568245.9166666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-16,15.21,15.1,15.27,15.09,25973.0,393577.5266666667,volume_hlc3_fallback,393577.5266666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-17,15.09,14.85,15.15,14.82,41918.0,626254.9199999999,volume_hlc3_fallback,626254.9199999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-20,15.06,14.75,15.06,14.68,42445.0,629459.35,volume_hlc3_fallback,629459.35,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-21,14.77,14.81,14.92,14.76,22724.0,336996.92,volume_hlc3_fallback,336996.92,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-22,14.84,14.87,14.95,14.76,19220.0,285609.2,volume_hlc3_fallback,285609.2,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-23,14.88,14.88,14.94,14.78,22896.0,340387.2,volume_hlc3_fallback,340387.2,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-24,14.86,14.74,14.95,14.71,31303.0,463284.39999999997,volume_hlc3_fallback,463284.39999999997,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-27,14.79,14.75,14.84,14.7,35948.0,530712.3066666666,volume_hlc3_fallback,530712.3066666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-28,14.76,14.67,14.76,14.64,33468.0,491644.92,volume_hlc3_fallback,491644.92,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-29,14.68,14.79,14.91,14.61,34845.0,514660.65,volume_hlc3_fallback,514660.65,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-30,14.62,14.34,14.65,14.23,96219.0,1386195.06,volume_hlc3_fallback,1386195.06,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-10-31,14.29,14.45,14.49,14.29,40191.0,579152.31,volume_hlc3_fallback,579152.31,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-03,14.39,14.67,14.81,14.35,52563.0,767945.4299999999,volume_hlc3_fallback,767945.4299999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-04,14.7,14.55,14.73,14.47,24429.0,356256.25,volume_hlc3_fallback,356256.25,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-05,14.5,14.83,14.87,14.44,42856.0,630554.6133333333,volume_hlc3_fallback,630554.6133333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-06,14.91,15.21,15.32,14.83,76922.0,1163060.64,volume_hlc3_fallback,1163060.64,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-07,15.49,15.7,16.0,15.35,190370.0,2985636.1666666665,volume_hlc3_fallback,2985636.1666666665,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
2025-11-10,15.66,15.92,16.1,15.6,95597.0,1517443.0466666669,volume_hlc3_fallback,1517443.0466666669,volume_hlc3_fallback,v4,daily,2026-06-17 10:20:05
