index_regime_date,index_regime,index_score,index_score_delta,index_gate_advice,index_temp_bucket,index_circuit_state,index_pos_factor,index_policy_reason,dynamic_qty,qty_source,blocked_by_index_circuit,date,time,code,name,action,score,buy_score,sell_score,price,vwap,notify,notify_threshold,hold_qty,daily_gate,daily_trend_bg,daily_support_name,daily_support_gap,daily_status,reasons,minute_source,daily_context_source
2026-07-06,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-06,14:28:00,000988,华工科技,BUY_LOW,97.0,97.0,14.0,149.95,150.45749682877187,True,68,800,overheat,bull,,0.0,ok,回归空间|RSI超卖|MACD拐头|MACD强拐头|回落确认|MA5支撑确认|15分强支撑|15分多重底|15分低点强支撑|均线回踩|均线上破回踩|日线趋势背景|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-06,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-06,14:54:00,000988,华工科技,BUY_LOW,88.0,88.0,6.0,149.78,150.42645747550452,True,68,800,overheat,bull,,0.0,ok,回归空间|RSI超卖|长下影|回落确认|MA5支撑确认|15分多重底|15分低点支撑|尾盘跌破均线|均线回踩|均线上破回踩|日线趋势背景|45度洗盘可低吸|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-07,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-07,10:35:00,000988,华工科技,SELL_HIGH,59.0,11.0,59.0,150.76,150.50227388763764,False,65,800,overheat,bull,,0.0,ok,回吐空间|RSI超买|布林偏上|压力区突破|强空头优先高抛|日线过热,cache,direct_build
2026-07-07,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-07,10:40:00,000988,华工科技,SELL_HIGH,123.0,9.0,123.0,151.25,150.53387806347374,True,65,800,overheat,bull,,0.0,ok,回吐空间|RSI超买|布林偏上|双顶保护|二次冲高未突破|强空头优先高抛|日线过热,cache,direct_build
2026-07-07,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-07,13:05:00,000988,华工科技,BUY_LOW,91.0,91.0,3.0,149.26,150.66322611778673,True,68,800,overheat,bull,,0.0,ok,回归空间|下午回落|RSI超卖|布林偏下|回落确认|区间低位|MA5支撑确认|15分强支撑|15分低点强支撑|日线趋势背景|卖后低吸(弱)|卖后RSI超卖|45度洗盘可低吸|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-08,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-08,10:17:00,000988,华工科技,SELL_HIGH,69.0,30.0,69.0,148.3,149.28699256076337,True,65,800,overheat,bull,,0.0,ok,RSI超买|布林偏上|强空头优先高抛|日线过热|最优卖点,cache,direct_build
2026-07-08,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-08,10:18:00,000988,华工科技,SELL_HIGH,69.0,45.0,69.0,148.49,149.28054901343165,True,65,800,overheat,bull,,0.0,ok,RSI超买|布林偏上|强空头优先高抛|日线过热|最优卖点,cache,direct_build
2026-07-08,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-08,14:14:00,000988,华工科技,BUY_LOW,117.0,117.0,3.0,149.48,149.75295330917547,True,68,800,overheat,bull,,0.0,ok,回归空间|RSI超卖|布林偏下|回落确认|MA5支撑确认|15分强支撑|15分多重底|15分RSI超卖|15分低点强支撑|均线回踩|均线上破回踩|日线趋势背景|卖后RSI超卖|45度洗盘可低吸|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-08,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-08,14:25:00,000988,华工科技,BUY_LOW,101.0,101.0,26.0,149.37,149.74785214539892,True,68,800,overheat,bull,,0.0,ok,回归空间|回落确认|MA5支撑确认|15分强支撑|15分多重底|15分RSI超卖|15分低点强支撑|均线回踩|均线上破回踩|日线趋势背景|45度洗盘可低吸|5分企稳反转|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-08,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-08,14:30:00,000988,华工科技,BUY_LOW,148.0,148.0,22.0,148.8,149.7349619371924,True,68,800,overheat,bull,,0.0,ok,回归空间|下午回落|RSI超卖|布林偏下|MACD拐头|MACD强拐头|回落确认|MA5支撑确认|15分强支撑|15分多重底|15分RSI超卖|15分低点强支撑|尾盘跌破均线|均线回踩|均线上破回踩|日线趋势背景|45度洗盘可低吸|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-09,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-09,10:34:00,000988,华工科技,SELL_HIGH,59.0,6.0,59.0,149.49,148.98830262231596,False,65,800,overheat,bull,,0.0,ok,回吐空间|RSI超买|布林偏上|压力区突破|强空头优先高抛|日线过热,cache,direct_build
2026-07-09,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-09,11:28:00,000988,华工科技,SELL_HIGH,89.0,-5.0,89.0,150.28,149.12908215177316,True,65,800,overheat,bull,,0.0,ok,回吐空间|RSI超买|布林偏上|二次冲高未突破|日线过热|最优卖点,cache,direct_build
2026-07-10,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-10,10:29:00,000988,华工科技,SELL_HIGH,87.0,28.0,87.0,165.68,166.35769210218817,True,65,800,overheat,bull,,0.0,ok,RSI超买|布林偏上|压力区突破|强空头优先高抛|日线过热|最优卖点,cache,direct_build
2026-07-10,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-10,11:00:00,000988,华工科技,SELL_HIGH,72.0,31.0,72.0,164.42,165.9911950105604,True,65,800,overheat,bull,,0.0,ok,RSI超买|布林偏上|压力区突破|强空头优先高抛|日线过热|最优卖点,cache,direct_build
2026-07-10,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-10,11:29:00,000988,华工科技,BUY_LOW,131.0,131.0,6.0,162.93,165.8607923808114,True,68,800,overheat,bull,,0.0,ok,回归空间|盈利空间|VWAP深度偏离|RSI超卖|布林偏下|MACD拐头|MACD强拐头|量能确认|长下影|MA5支撑确认|15分强支撑|15分多重底|15分RSI超卖|15分低点强支撑|日线趋势背景|卖后低吸(弱)|卖后RSI超卖|45度洗盘可低吸|卖后重建|MA5上行顺势T,cache,direct_build
2026-07-13,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,800,position_sizer,False,2026-07-13,10:15:00,000988,华工科技,SELL_HIGH,84.0,3.0,84.0,160.5,159.71490947656648,True,65,800,overheat,bull,,0.0,ok,回吐空间|RSI超买|布林偏上|强空头优先高抛|日线过热|最优卖点,cache,direct_build
