ts_code,time,close,open,high,low,volume,amount,date
000988.SZ,2025-06-16 09:30:00,44.9,44.71,44.9,44.65,150500.0,6730609.0,2025-06-16
000988.SZ,2025-06-16 09:31:00,45.37,44.78,45.49,44.78,554609.0,25061646.0,2025-06-16
000988.SZ,2025-06-16 09:32:00,45.36,45.42,45.5,45.36,315491.0,14334317.0,2025-06-16
000988.SZ,2025-06-16 09:33:00,45.4,45.37,45.46,45.3,314800.0,14290667.0,2025-06-16
000988.SZ,2025-06-16 09:34:00,45.42,45.44,45.45,45.36,232500.0,10557071.0,2025-06-16
000988.SZ,2025-06-16 09:35:00,45.41,45.47,45.47,45.37,299800.0,13612851.0,2025-06-16
000988.SZ,2025-06-16 09:36:00,45.48,45.36,45.48,45.36,245800.0,11172174.0,2025-06-16
000988.SZ,2025-06-16 09:37:00,45.35,45.5,45.5,45.32,326100.0,14817366.0,2025-06-16
000988.SZ,2025-06-16 09:38:00,45.35,45.3,45.37,45.22,211400.0,9580110.0,2025-06-16
000988.SZ,2025-06-16 09:39:00,45.39,45.36,45.39,45.32,119300.0,5410764.0,2025-06-16
000988.SZ,2025-06-16 09:40:00,45.49,45.4,45.49,45.4,139601.0,6342945.5,2025-06-16
000988.SZ,2025-06-16 09:41:00,45.53,45.52,45.56,45.5,394400.0,17953356.0,2025-06-16
000988.SZ,2025-06-16 09:42:00,45.6,45.53,45.6,45.53,277882.0,12664628.0,2025-06-16
000988.SZ,2025-06-16 09:43:00,45.61,45.59,45.63,45.58,159700.0,7283732.0,2025-06-16
000988.SZ,2025-06-16 09:44:00,45.6,45.62,45.64,45.6,148300.0,6765172.0,2025-06-16
000988.SZ,2025-06-16 09:45:00,45.63,45.6,45.66,45.6,194000.0,8853440.0,2025-06-16
000988.SZ,2025-06-16 09:46:00,45.65,45.63,45.67,45.62,158100.0,7215149.0,2025-06-16
000988.SZ,2025-06-16 09:47:00,45.65,45.66,45.66,45.59,204700.0,9339694.0,2025-06-16
000988.SZ,2025-06-16 09:48:00,45.76,45.62,45.79,45.62,483600.0,22113688.0,2025-06-16
