ts_code,time,close,open,high,low,volume,amount,rsi,bb_up,bb_dn,bb_pct,macd,macd_signal,macd_hist,ema_fast,ema_slow,ema_spread,vwap,vwap_dev,vwap_dev_atr,date,day_amplitude,range_pos,vol_ma10,vol_ratio,mom5,upper_shadow,lower_shadow,prev_close,prev_high,today_ret
000988.SZ,2026-06-30 09:30:00,178.89,179.0,179.0,177.2,2873900.0,514007870.0,,,,,0.0,0.0,0.0,178.89,178.89,0.0,178.85377709732418,0.00020252802744049456,0.020127910460461022,2026-06-30,0.08455181182453907,0.40054682157207383,2873900.0,1.0,,0.0,0.9388836728684768,,,
000988.SZ,2026-06-30 09:31:00,176.6,178.02,178.02,175.18,3788699.0,672290560.0,0.0,180.9835490578344,174.5064509421656,0.32322330470336247,-0.18267806267806463,-0.03653561253561293,-0.2922849002849034,177.745,178.23571428571427,-0.002753175970825017,178.05340378431902,-0.00816274080376228,-0.6213534594587993,2026-06-30,0.08455181182453907,0.2440191387393011,3331299.5,1.1373036258072864,,0.0,0.49999823944281385,178.89,179.0,-0.012801162725697313
000988.SZ,2026-06-30 09:32:00,175.86,176.14,176.14,174.5,1985973.0,348295650.0,0.0,180.27605479308187,173.95727854025148,0.30112182859715,-0.38275143870586703,-0.10577877776966375,-0.5539453218724065,176.8025,177.5569387755102,-0.004248996297824425,177.43901305325318,-0.008898905748417731,-0.7475931042595901,2026-06-30,0.08455181182453907,0.19343814079334076,2882857.3333333335,0.6888904896669646,,0.0,0.8292632361997945,176.6,178.02,-0.00419026047565108
000988.SZ,2026-06-30 09:33:00,174.0,175.9,175.9,173.8,2246354.0,392614500.0,0.0,180.3832508573811,172.2917491426189,0.21111666506410703,-0.6835183123606328,-0.22132668468785757,-0.9243832553455504,175.40125,176.54067055393585,-0.006454153314138111,176.8904699306815,-0.016340450290025156,-1.3571543438970781,2026-06-30,0.08455181182453907,0.06630211892916589,2723731.5,0.8247340092075889,,0.0,0.09523764172551043,175.86,176.14,-0.010576595018765003
000988.SZ,2026-06-30 09:34:00,175.18,174.03,175.4,174.03,1333970.0,233312110.0,19.439868204283485,179.75948053231434,172.45251946768565,0.3732715294621537,-0.817241437732747,-0.3405096352968355,-0.9534636048718231,175.290625,176.15190753852562,-0.00488943066561596,176.6734045330012,-0.008452910821233575,-0.7593748295711271,2026-06-30,0.08455181182453907,0.14695830484299713,2445779.2,0.5454171823850656,,0.16058276946883462,0.0,174.0,175.9,0.0067816091954023385
000988.SZ,2026-06-30 09:35:00,176.28,175.2,176.6,175.2,1455995.0,256236060.0,31.79916317991639,179.40585921433495,172.86414078566503,0.5221654297079692,-0.8249476876655137,-0.43739724577057115,-0.7751008837898852,175.7853125,176.18850538466117,-0.002288417645526312,176.60036532260287,-0.0018140694217571056,-0.1720811610765968,2026-06-30,0.08455181182453907,0.2221462747626695,2280815.1666666665,0.6383660637121626,-0.014589971490860276,0.22856979593002327,0.0,175.18,175.4,0.006279255622787957
000988.SZ,2026-06-30 09:36:00,177.39,176.11,177.49,175.5,2999692.0,530596770.0,40.942028985507214,179.44724719171367,173.18132423685776,0.6716769091264715,-0.7330372260724971,-0.49652524183095637,-0.4730239684830815,176.58765625,176.53178956047225,0.00031646815379177666,176.6513145698637,0.004181601659375956,0.3951613568110273,2026-06-30,0.08455181182453907,0.298017771681611,2383511.8571428573,1.2585177585798817,0.004473386183465378,0.05025100376381138,0.30653112295918655,176.28,176.6,0.006296800544588072
000988.SZ,2026-06-30 09:37:00,177.04,177.1,177.12,176.5,1215900.0,215042800.0,39.28157589803012,179.35060204857538,173.45939795142462,0.6077878120547723,-0.6805941325044955,-0.5333390199656642,-0.29451022507766256,176.813828125,176.67699254319444,0.0007744957610826893,176.6654184694346,0.002120287794921228,0.21824171582142657,2026-06-30,0.08455181182453907,0.27409432670717004,2237560.375,0.5434043316037896,0.006709882861366978,0.0322575442331738,0.8709536942952342,177.39,177.49,-0.001973053723434209
000988.SZ,2026-06-30 09:38:00,177.4,177.05,177.57,177.04,2660049.0,471525540.0,41.71301446051177,179.3496358492507,173.6814752618604,0.6560372947816691,-0.603032231475396,-0.5472776622676107,-0.11150913841557064,177.10691406249998,176.88356610228175,0.0012626834993200258,176.74259887827805,0.00371953974816626,0.4155785277762241,2026-06-30,0.08455181182453907,0.2987012986808821,2284503.5555555555,1.1643882074646708,0.019540229885057547,0.3207486651195018,0.018867568536479133,177.04,177.12,0.002033438770899309
000988.SZ,2026-06-30 09:39:00,176.0,177.03,177.03,176.0,1001300.0,176964670.0,36.09239653512997,179.1558180555982,173.7721819444018,0.4138128970056102,-0.6470731097975886,-0.5672367517736062,-0.15967271604796474,176.55345703125,176.63111864448697,-0.000439682508003002,176.74224203212418,-0.004199573478247909,-0.48245752752717425,2026-06-30,0.08455181182453907,0.20300751878311635,2156183.2,0.4643854010178727,0.004680899646078318,0.0,0.0,177.4,177.57,-0.00789177001127399
000988.SZ,2026-06-30 09:40:00,175.63,175.8,175.95,175.22,701500.0,123164250.0,34.85130111524167,178.99091604482606,173.78544759153755,0.3543489745475578,-0.7037196884283787,-0.5945333391045607,-0.21837269864763598,176.091728515625,176.34508474606213,-0.0014367070723971056,176.70539072947392,-0.006085783376695545,-0.7325425220523001,2026-06-30,0.08455181182453907,0.1777170198101352,1938943.2,0.3617950231858262,-0.0036873156342183133,0.20547663730631002,0.5616361419706611,176.0,177.03,-0.002102272727272753
000988.SZ,2026-06-30 09:41:00,173.91,175.63,175.63,173.91,1713745.0,298891520.0,30.048076923076948,179.04619370468097,173.3171396286523,0.10348311666812714,-0.8772892906214054,-0.6510845294079297,-0.4524095224269513,175.0008642578125,175.64934624718722,-0.003691912342572128,176.54121476108202,-0.01490425204473026,-1.7503647539216916,2026-06-30,0.08455181182453907,0.06015037593573789,1731447.8,0.9897757241078824,-0.019617791307289023,0.0,0.0,175.63,175.95,-0.009793315492797352
000988.SZ,2026-06-30 09:42:00,173.7,173.85,173.85,173.03,1232376.0,213729810.0,29.55082742316786,179.05943301748448,172.922105444054,0.12674809135390044,-1.0200314086858384,-0.7248739052635115,-0.5903150068446539,174.35043212890625,175.09239017656228,-0.0042375230979932385,176.38907555828362,-0.015245136637700057,-1.851804359418531,2026-06-30,0.08455181182453907,0.04579630895107255,1656088.1,0.7441488167205597,-0.018865793041120682,0.0,0.8170632065462532,173.91,175.63,-0.0012075211316198492
000988.SZ,2026-06-30 09:43:00,175.0,173.8,175.18,173.8,769500.0,134455870.0,36.097212294496124,178.91546323629586,172.92453676370417,0.34643443644167765,-1.0165384082099536,-0.7832068058528,-0.4666632047143071,174.67521606445314,175.06599298325875,-0.0022321692074312965,176.33997721155276,-0.0075988283130217875,-0.9322548506211006,2026-06-30,0.08455181182453907,0.1346548188561411,1508402.7,0.5101422849481774,-0.013528748590755368,0.13043383743596598,0.0,173.7,173.85,0.00748416810592983
000988.SZ,2026-06-30 09:44:00,174.51,174.62,174.62,174.19,736100.0,128473784.0,34.87569060773484,178.8029188289716,172.8490811710284,0.27896609286209145,-1.0413055627293204,-0.8348265572281042,-0.41295801100243246,174.59260803222656,174.90713784518482,-0.0017982674511354405,176.2901898042276,-0.010098065049476242,-1.3263971314503975,2026-06-30,0.08455181182453907,0.10116199589192264,1448615.7,0.5081402886907825,-0.008465909090909163,0.0,0.7441687402618267,175.0,175.18,-0.002800000000000052
