date,total_market_value,cash_balance,total_asset_value,shares,nav,strategy_yield,strategy_yield_daily,strategy_drawdown,profit_loss,benchmark_price,benchmark_yield,benchmark_yield_daily,benchmark_drawdown
2026-04-24,0.0,200000.0,200000.0,200000.0,1.0,0.0,0.0,0.0,0,4769.3688,0.0,0.0,0.0
2026-04-27,95032.0,106000.0,201032.0,200000.0,1.00516,0.005160000000000053,0.005160000000000053,0.0,1,4770.9469,0.0003308823591079424,0.0003308823591079424,0.0
2026-04-28,92472.0,106000.0,198472.0,200000.0,0.99236,-0.00763999999999998,-0.012734291058140031,-0.012734291058140057,-1,4758.2083,-0.002340037113506499,-0.002670036004802201,-0.002670036004802201
2026-04-29,95232.0,107045.00122070312,202277.00122070312,200000.0,1.0113850061035157,0.011385006103515671,0.01917147618154264,0.0,1,4810.3468,0.008591912623741704,0.010957590906644388,0.0
2026-04-30,95624.0,108115.00244140625,203739.00244140625,200000.0,1.0186950122070313,0.018695012207031292,0.007227718484455601,0.0,1,4807.3069,0.00795453268365387,-0.000631950278512261,-0.000631950278512261
2026-05-06,100152.0,108292.00210571289,208444.0021057129,200000.0,1.0422200105285644,0.04222001052856439,0.02309326936878343,0.0,1,4877.0932,0.0225867204901411,0.014516714129485075,0.0
2026-05-07,106800.0,109916.00112915039,216716.0011291504,200000.0,1.0835800056457519,0.08358000564575185,0.03968451449729088,0.0,1,4900.5098,0.02749651064937564,0.0048013435543941,0.0
2026-05-08,82014.0,136422.00088500977,218436.00088500977,200000.0,1.092180004425049,0.09218000442504892,0.00793665325540218,0.0,1,4871.9122,0.021500413220298498,-0.005835637753443534,-0.005835637753443534
2026-05-11,73780.0,151195.00045776367,224975.00045776367,200000.0,1.1248750022888183,0.12487500228881832,0.02993553968329686,0.0,1,4951.8366,0.038258270150968166,0.016405139649273703,0.0
2026-05-12,72080.0,151195.00045776367,223275.00045776367,200000.0,1.1163750022888184,0.11637500228881836,-0.007556395139641948,-0.007556395139641903,-1,4948.0465,0.03746359476331551,-0.0007653927837600882,-0.0007653927837600882
2026-05-13,56840.0,165462.9997253418,222302.9997253418,200000.0,1.111514998626709,0.111514998626709,-0.004353379153192498,-0.011876878439760263,-1,4998.3417,0.0480090572991545,0.010164657910955333,0.0
2026-05-14,54960.0,165462.9997253418,220422.9997253418,200000.0,1.102114998626709,0.10211499862670892,-0.008456925917881357,-0.02023336247654084,-1,4914.5971,0.030450213873164822,-0.016754476789772044,-0.016754476789772044
2026-05-15,53591.99999999999,165462.9997253418,219054.9997253418,200000.0,1.095274998626709,0.09527499862670896,-0.006206248901904922,-0.026314038094793935,-1,4859.5927,0.01891736701091351,-0.011192046648137222,-0.027759006552113052
