ts_code,time,close,open,high,low,volume,amount,date
603667.SH,2026-07-20 09:30:00,55.0,54.08,55.0,54.08,159700.0,8638821.0,2026-07-20
603667.SH,2026-07-20 09:31:00,54.85,55.23,55.7,54.85,390000.0,21537644.0,2026-07-20
603667.SH,2026-07-20 09:32:00,53.88,54.75,54.75,53.41,459900.0,24831464.0,2026-07-20
603667.SH,2026-07-20 09:33:00,53.63,53.86,53.86,53.4,311400.0,16682003.0,2026-07-20
603667.SH,2026-07-20 09:34:00,54.66,53.63,54.66,53.56,225300.0,12132632.0,2026-07-20
603667.SH,2026-07-20 09:35:00,54.8,54.69,54.89,54.6,247700.0,13559133.0,2026-07-20
603667.SH,2026-07-20 09:36:00,54.82,54.8,55.02,54.8,242300.0,13304202.0,2026-07-20
603667.SH,2026-07-20 09:37:00,54.85,54.82,54.89,54.7,137600.0,7541920.0,2026-07-20
603667.SH,2026-07-20 09:38:00,54.85,54.83,55.02,54.8,227100.0,12473925.0,2026-07-20
603667.SH,2026-07-20 09:39:00,55.17,54.97,55.2,54.97,178200.0,9826202.0,2026-07-20
603667.SH,2026-07-20 09:40:00,54.89,55.11,55.11,54.84,207900.0,11423617.0,2026-07-20
603667.SH,2026-07-20 09:41:00,55.07,54.9,55.12,54.9,106100.0,5838717.0,2026-07-20
603667.SH,2026-07-20 09:42:00,54.79,55.07,55.07,54.68,168800.0,9255028.0,2026-07-20
603667.SH,2026-07-20 09:43:00,55.03,54.7,55.07,54.7,180735.0,9910181.0,2026-07-20
603667.SH,2026-07-20 09:44:00,55.15,54.99,55.15,54.67,276600.0,15205968.0,2026-07-20
603667.SH,2026-07-20 09:45:00,55.4,55.23,55.41,55.23,261300.0,14459051.0,2026-07-20
603667.SH,2026-07-20 09:46:00,55.05,55.4,55.4,54.9,82200.0,4534818.0,2026-07-20
603667.SH,2026-07-20 09:47:00,55.07,55.06,55.07,55.02,137800.0,7584543.0,2026-07-20
